Year,Ec_activ,including,Value
2020,4_proc_ind,manufacture of main pharmaceutical products and preparations,
2015,4_proc_ind,manufacture of rubber and plastic products. other non-metallic mineral products,26.9
2016,4_proc_ind,manufacture of rubber and plastic products. other non-metallic mineral products,
2017,4_proc_ind,manufacture of rubber and plastic products. other non-metallic mineral products,29.7
2018,4_proc_ind,manufacture of rubber and plastic products. other non-metallic mineral products,
2019,4_proc_ind,manufacture of rubber and plastic products. other non-metallic mineral products,28.3
2020,4_proc_ind,manufacture of rubber and plastic products. other non-metallic mineral products,
2015,4_proc_ind,metallurgical manufacturing. manufacture of fabricated metal products. except machinery and equipment,57.7
2016,4_proc_ind,metallurgical manufacturing. manufacture of fabricated metal products. except machinery and equipment,
2017,4_proc_ind,metallurgical manufacturing. manufacture of fabricated metal products. except machinery and equipment,56.3
2018,4_proc_ind,metallurgical manufacturing. manufacture of fabricated metal products. except machinery and equipment,
2019,4_proc_ind,metallurgical manufacturing. manufacture of fabricated metal products. except machinery and equipment,55.4
2020,4_proc_ind,metallurgical manufacturing. manufacture of fabricated metal products. except machinery and equipment,
2015,4_proc_ind4_proc_ind4_proc_ind,manufacture of computers. electronic and optical products,14.7
2016,4_proc_ind4_proc_ind,manufacture of computers. electronic and optical products,
2017,4_proc_ind,manufacture of computers. electronic and optical products,14.4
2018,4_proc_ind,manufacture of computers. electronic and optical products,
2019,4_proc_ind,manufacture of computers. electronic and optical products,13.2
2020,4_proc_ind,manufacture of computers. electronic and optical products,
2015,4_proc_ind,manufacture of electrical equipment,23.7
2016,4_proc_ind,manufacture of electrical equipment,
2017,4_proc_ind,manufacture of electrical equipment,21
2018,4_proc_ind,manufacture of electrical equipment,
2019,4_proc_ind,manufacture of electrical equipment,19.4
2020,4_proc_ind,manufacture of electrical equipment,
2015,4_proc_ind,manufacture of machinery and equipment. not elsewhere classified,25.3
2016,4_proc_ind,manufacture of machinery and equipment. not elsewhere classified,
2017,4_proc_ind,manufacture of machinery and equipment. not elsewhere classified,21.9
2018,4_proc_ind,manufacture of machinery and equipment. not elsewhere classified,
2019,4_proc_ind,manufacture of machinery and equipment. not elsewhere classified,21.1
2020,4_proc_ind,manufacture of machinery and equipment. not elsewhere classified,
2015,4_proc_ind,manufacture of motor vehicles. trailers and semi-trailers and other vehicles,21.5
2016,4_proc_ind,manufacture of motor vehicles. trailers and semi-trailers and other vehicles,
2017,4_proc_ind,manufacture of motor vehicles. trailers and semi-trailers and other vehicles,19.4
2018,4_proc_ind,manufacture of motor vehicles. trailers and semi-trailers and other vehicles,
2019,4_proc_ind,manufacture of motor vehicles. trailers and semi-trailers and other vehicles,19.4
2020,4_proc_ind4_proc_ind,manufacture of motor vehicles. trailers and semi-trailers and other vehicles,
2015,4_proc_ind,manufacture of furniture. other products. repair and installation of machinery and equipment,30.3
2016,4_proc_ind,manufacture of furniture. other products. repair and installation of machinery and equipment,
2017,4_proc_ind,manufacture of furniture. other products. repair and installation of machinery and equipment,29.1
2018,4_proc_ind,manufacture of furniture. other products. repair and installation of machinery and equipment,
2019,4_proc_ind,manufacture of furniture. other products. repair and installation of machinery and equipment,33.9
2020,4_proc_ind,manufacture of furniture. other products. repair and installation of machinery and equipment,
2015,5_el_gas,,35.2
2016,5_el_gas,,
2017,5_el_gas,,34.9
2018,5_el_gas,,
2019,5_el_gas,,34
2020,5_el_gas,,
2015,6_water,,35.3
2016,6_water,,
2017,6_water,,35.4
2018,6_water,,
2019,6_water,,36.5
2020,6_water,,
2015,7_constr,,20.8
2016,7_constr,,
2017,7_constr,,20.5
2018,7_constr,,
2019,7_constr,,22.5
2020,7_constr,,
2015,8_trans_act,,23.1
2016,8_trans_act,,
2017,8_trans_act,,23.5
2018,8_trans_act,,
2019,8_trans_act,,27
2020,8_trans_act,,
2015,9_telec,,11.4
2016,9_telec,,
2017,9_telec,,10.7
2018,9_telec,,
2019,9_telec,,11.1
2020,9_telec,,
