Year,Component,Region,Age,Gender,Value
2019,com_2_tolerance,14_reg_Donetsk,age_2_36_60,,
2017,com_2_tolerance,14_reg_Donetsk,age_3_61,,4.8
2018,com_2_tolerance,14_reg_Donetsk,age_3_61,,
2019,com_2_tolerance,14_reg_Donetsk,age_3_61,,
2017,com_2_tolerance,14_reg_Donetsk,,males,4.9
2018,com_2_tolerance,14_reg_Donetsk,,males,
2019,com_2_tolerance,14_reg_Donetsk,,males,
2017,com_2_tolerance,14_reg_Donetsk,,females,5
2018,com_2_tolerance,14_reg_Donetsk,,females,
2019,com_2_tolerance,14_reg_Donetsk,,females,
2017,com_2_tolerance,21_reg_Luhansk,age_1_18_35,,4.9
2018,com_2_tolerance,21_reg_Luhansk,age_1_18_35,,
2019,com_2_tolerance,21_reg_Luhansk,age_1_18_35,,
2017,com_2_tolerance,21_reg_Luhansk,age_2_36_60,,4.9
2018,com_2_tolerance,21_reg_Luhansk,age_2_36_60,,
2019,com_2_tolerance,21_reg_Luhansk,age_2_36_60,,
2017,com_2_tolerance,21_reg_Luhansk,age_3_61,,4.6
2018,com_2_tolerance,21_reg_Luhansk,age_3_61,,
2019,com_2_tolerance,21_reg_Luhansk,age_3_61,,
2017,com_2_tolerance,21_reg_Luhansk,,males,4.7
2018,com_2_tolerance,21_reg_Luhansk,,males,
2019,com_2_tolerance,21_reg_Luhansk,,males,
2017,com_2_tolerance,21_reg_Luhansk,,females,4.9
2018,com_2_tolerance,21_reg_Luhansk,,females,
2019,com_2_tolerance,21_reg_Luhansk,,females,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,age_1_18_35,,4.8
2018,com_2_tolerance,13_reg_Dnipropetrovsk,age_1_18_35,,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,age_1_18_35,,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,age_2_36_60,,4.8
2018,com_2_tolerance,13_reg_Dnipropetrovsk,age_2_36_60,,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,age_2_36_60,,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,age_3_61,,4.7
2018,com_2_tolerance,13_reg_Dnipropetrovsk,age_3_61,,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,age_3_61,,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,,males,4.7
2018,com_2_tolerance,13_reg_Dnipropetrovsk,,males,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,,males,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,,females,4.8
2018,com_2_tolerance,13_reg_Dnipropetrovsk,,females,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,,females,
2017,com_2_tolerance,17_reg_Zaporizhya,age_1_18_35,,4.9
2018,com_2_tolerance,17_reg_Zaporizhya,age_1_18_35,,
2019,com_2_tolerance,17_reg_Zaporizhya,age_1_18_35,,
2017,com_2_tolerance,17_reg_Zaporizhya,age_2_36_60,,4.8
2018,com_2_tolerance,17_reg_Zaporizhya,age_2_36_60,,
2019,com_2_tolerance,17_reg_Zaporizhya,age_2_36_60,,
2017,com_2_tolerance,17_reg_Zaporizhya,age_3_61,,4.8
2018,com_2_tolerance,17_reg_Zaporizhya,age_3_61,,
2019,com_2_tolerance,17_reg_Zaporizhya,age_3_61,,
2017,com_2_tolerance,17_reg_Zaporizhya,,males,4.7
2018,com_2_tolerance,17_reg_Zaporizhya,,males,
2019,com_2_tolerance,17_reg_Zaporizhya,,males,
2017,com_2_tolerance,17_reg_Zaporizhya,,females,5
2018,com_2_tolerance,17_reg_Zaporizhya,,females,
2019,com_2_tolerance,17_reg_Zaporizhya,,females,
2017,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,4.7
2018,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2019,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2017,com_2_tolerance,29_reg_Kharkiv,age_2_36_60,,4.8
2018,com_2_tolerance,29_reg_Kharkiv,age_2_36_60,,
2019,com_2_tolerance,29_reg_Kharkiv,age_2_36_60,,
2017,com_2_tolerance,29_reg_Kharkiv,age_3_61,,4.7
2018,com_2_tolerance,29_reg_Kharkiv,age_3_61,,
2019,com_2_tolerance,29_reg_Kharkiv,age_3_61,,
2017,com_2_tolerance,29_reg_Kharkiv,,males,4.6
2018,com_2_tolerance,29_reg_Kharkiv,,males,
2019,com_2_tolerance,29_reg_Kharkiv,,males,
2017,com_2_tolerance,29_reg_Kharkiv,,females,4.9
2018,com_2_tolerance,29_reg_Kharkiv,,females,
2019,com_2_tolerance,29_reg_Kharkiv,,females,


2017,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2018,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2019,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2017,com_3_adapt,14_reg_Donetsk,age_2_36_60,,7.8
2018,com_3_adapt,14_reg_Donetsk,age_2_36_60,,
2019,com_3_adapt,14_reg_Donetsk,age_2_36_60,,
2017,com_3_adapt,14_reg_Donetsk,age_3_61,,7.8
2018,com_3_adapt,14_reg_Donetsk,age_3_61,,
2019,com_3_adapt,14_reg_Donetsk,age_3_61,,
2017,com_3_adapt,14_reg_Donetsk,,males,7.7
2018,com_3_adapt,14_reg_Donetsk,,males,
2019,com_3_adapt,14_reg_Donetsk,,males,
2017,com_3_adapt,14_reg_Donetsk,,females,7.9
2018,com_3_adapt,14_reg_Donetsk,,females,
2019,com_3_adapt,14_reg_Donetsk,,females,
2017,com_3_adapt,21_reg_Luhansk,age_1_18_35,,7.9
2018,com_3_adapt,21_reg_Luhansk,age_1_18_35,,
2019,com_3_adapt,21_reg_Luhansk,age_1_18_35,,
2017,com_3_adapt,21_reg_Luhansk,age_2_36_60,,7.9
2018,com_3_adapt,21_reg_Luhansk,age_2_36_60,,
2019,com_3_adapt,21_reg_Luhansk,age_2_36_60,,
2017,com_3_adapt,21_reg_Luhansk,age_3_61,,7.8
2018,com_3_adapt,21_reg_Luhansk,age_3_61,,
2019,com_3_adapt,21_reg_Luhansk,age_3_61,,
2017,com_3_adapt,21_reg_Luhansk,,males,7.8
2018,com_3_adapt,21_reg_Luhansk,,males,
2019,com_3_adapt,21_reg_Luhansk,,males,
2017,com_3_adapt,21_reg_Luhansk,,females,7.9
2018,com_3_adapt,21_reg_Luhansk,,females,
2019,com_3_adapt,21_reg_Luhansk,,females,
2017,com_3_adapt,13_reg_Dnipropetrovsk,age_1_18_35,,7.7
2018,com_3_adapt,13_reg_Dnipropetrovsk,age_1_18_35,,
2019,com_3_adapt,13_reg_Dnipropetrovsk,age_1_18_35,,
2017,com_3_adapt,13_reg_Dnipropetrovsk,age_2_36_60,,7.7
2018,com_3_adapt,13_reg_Dnipropetrovsk,age_2_36_60,,
2019,com_3_adapt,13_reg_Dnipropetrovsk,age_2_36_60,,
2017,com_3_adapt,13_reg_Dnipropetrovsk,age_3_61,,7.7
2018,com_3_adapt,13_reg_Dnipropetrovsk,age_3_61,,
2019,com_3_adapt,13_reg_Dnipropetrovsk,age_3_61,,
2017,com_3_adapt,13_reg_Dnipropetrovsk,,males,7.6
2018,com_3_adapt,13_reg_Dnipropetrovsk,,males,
2019,com_3_adapt,13_reg_Dnipropetrovsk,,males,
2017,com_3_adapt,13_reg_Dnipropetrovsk,,females,7.7
2018,com_3_adapt,13_reg_Dnipropetrovsk,,females,
2019,com_3_adapt,13_reg_Dnipropetrovsk,,females,
2017,com_3_adapt,17_reg_Zaporizhya,age_1_18_35,,7.8
2018,com_3_adapt,17_reg_Zaporizhya,age_1_18_35,,
2019,com_3_adapt,17_reg_Zaporizhya,age_1_18_35,,
2017,com_3_adapt,17_reg_Zaporizhya,age_2_36_60,,7.8
2018,com_3_adapt,17_reg_Zaporizhya,age_2_36_60,,
2019,com_3_adapt,17_reg_Zaporizhya,age_2_36_60,,
2017,com_3_adapt,17_reg_Zaporizhya,age_3_61,,7.8
2018,com_3_adapt,17_reg_Zaporizhya,age_3_61,,
2019,com_3_adapt,17_reg_Zaporizhya,age_3_61,,
2017,com_3_adapt,17_reg_Zaporizhya,,males,7.6
2018,com_3_adapt,17_reg_Zaporizhya,,males,
2019,com_3_adapt,17_reg_Zaporizhya,,males,
2017,com_3_adapt,17_reg_Zaporizhya,,females,8
2018,com_3_adapt,17_reg_Zaporizhya,,females,
2019,com_3_adapt,17_reg_Zaporizhya,,females,
2017,com_3_adapt,29_reg_Kharkiv,age_1_18_35,,7.7
2018,com_3_adapt,29_reg_Kharkiv,age_1_18_35,,
2019,com_3_adapt,29_reg_Kharkiv,age_1_18_35,,
2017,com_3_adapt,29_reg_Kharkiv,age_2_36_60,,7.8
2018,com_3_adapt,29_reg_Kharkiv,age_2_36_60,,
2019,com_3_adapt,29_reg_Kharkiv,age_2_36_60,,
2017,com_3_adapt,29_reg_Kharkiv,age_3_61,,7.8
2018,com_3_adapt,29_reg_Kharkiv,age_3_61,,
2019,com_3_adapt,29_reg_Kharkiv,age_3_61,,
2017,com_3_adapt,29_reg_Kharkiv,,males,7.6
2018,com_3_adapt,29_reg_Kharkiv,,males,
2019,com_3_adapte,29_reg_Kharkiv,,males,
2017,com_3_adapt,29_reg_Kharkiv,,females,7.9
2018,com_3_adapt,29_reg_Kharkiv,,females,
2019,com_3_adapt,29_reg_Kharkiv,,females,
