Year,Group,Value
2015,all population.complete total average. 15-24 years,38
2016,all population.complete total average. 15-24 years,37.8
2017,all population.complete total average. 15-24 years,37.8
2018,all population.complete total average. 15-24 years,38.8
2019,all population.complete total average. 15-24 years,34.8
2020,all population.complete total average. 15-24 years,36.2
2015,all population.complete total average. 25-64 years,22.4
2016,all population.complete total average. 25-64 years,21.8
2017,all population.complete total average. 25-64 years,21.7
2018,all population.complete total average. 25-64 years,21
2019,all population.complete total average. 25-64 years,20
2020,all population.complete total average. 25-64 years,19.9
2015,all population.basic.elementary general or no education. 15-24 years,23.2
2016,all population.basic.elementary general or no education. 15-24 years,23.3
2017,all population.basic.elementary general or no education. 15-24 years,24.4
2018,all population.basic.elementary general or no education. 15-24 years,25.8
2019,all population.basic.elementary general or no education. 15-24 years,26
2020,all population.basic.elementary general or no education. 15-24 years,29.4
2015,all population.basic.elementary general or no education. 25-64 years,3.2
2016,all population.basic.elementary general or no education. 25-64 years,3
2017,all population.basic.elementary general or no education. 25-64 years,2.8
2018,all population.basic.elementary general or no education. 25-64 years,2.7
2019,all population.basic.elementary general or no education. 25-64 years,3.2
2020,all population.basic.elementary general or no education. 25-64 years,3.1
2015,female. 15-24 years,100
2016,female. 15-24 years,100
2017,female. 15-24 years,100
2018,female. 15-24 years,100
2019,female. 15-24 years,100
2020,female. 15-24 years,100
2015,female. 25-64 years,100
2016,female. 25-64 years,100
2017,female. 25-64 years,100
2018,female. 25-64 years,100
2019,female. 25-64 years,100
2020,female. 25-64 years,100
2015,female.complete higher. 15-24 years,12.8
2016,female.complete higher. 15-24 years,11.6
2017,female.complete higher. 15-24 years,11
2018,female.complete higher. 15-24 years,10
2019,female.complete higher. 15-24 years,11.4
2020,female.complete higher. 15-24 years,9.5
2015,female.complete higher. 25-64 years,31
2016,female.complete higher. 25-64 years,31.4
2017,female.complete higher. 25-64 years,32
2018,female.complete higher. 25-64 years,33.2
2019,female.complete higher. 25-64 years,32
2020,female.complete higher. 25-64 years,32.4
2015,female.basic higher. 15-24 years,5
2016,female.basic higher. 15-24 years,5.2
2017,female.basic higher. 15-24 years,5.1
2018,female.basic higher. 15-24 years,5.8
2019,female.basic higher. 15-24 years,5.5
2020,female.basic higher. 15-24 years,5.2
2015,female.basic higher. 25-64 years,0.8
2016,female.basic higher. 25-64 years,0.9
2017,female.basic higher. 25-64 years,0.9
2018,female.basic higher. 25-64 years,1
2019,female.basic higher. 25-64 years,1.5
2020,female.basic higher. 25-64 years,1.5
2015,female.incomplete higher. 15-24 years,11.2
2016,female.incomplete higher. 15-24 years,12
2017,female.incomplete higher. 15-24 years,11
2018,female.incomplete higher. 15-24 years,10
2019,female.incomplete higher. 15-24 years,13.4
2020,female.incomplete higher. 15-24 years,11
2015,female.incomplete higher. 25-64 years,23.3
2016,female.incomplete higher. 25-64 years,23.1
2017,female.incomplete higher. 25-64 years,22.8
2018,female.incomplete higher. 25-64 years,22.5
2019,female.incomplete higher. 25-64 years,23.6
2020,female.incomplete higher. 25-64 years,23.2
2015,female.professional and technical. 15-24 years,9.3
2016,female.professional and technical. 15-24 years,10.3
2017,female.professional and technical. 15-24 years,10.5
2018,female.professional and technical. 15-24 years,10.1
2019,female.professional and technical. 15-24 years,9.7
2020,female.professional and technical. 15-24 years,9
2015,female.professional and technical. 25-64 years,19.3
2016,female.professional and technical. 25-64 years,19.4
2017,female.professional and technical. 25-64 years,19.5
2018,female.professional and technical. 25-64 years,19.6
2019,female.professional and technical. 25-64 years,20.1
2020,female.professional and technical. 25-64 years,20.1
2015,female.complete total average. 15-24 years,38.3
2016,female.complete total average. 15-24 years,37.9
2017,female.complete total average. 15-24 years,38.7
2018,female.complete total average. 15-24 years,39.9
2019,female.complete total average. 15-24 years,34.2
2020,female.complete total average. 15-24 years,36.6
2015,female.complete total average. 25-64 years,22.7
2016,female.complete total average. 25-64 years,22.3
2017,female.complete total average. 25-64 years,22
2018,female.complete total average. 25-64 years,21.2
2019,female.complete total average. 25-64 years,20
2020,female.complete total average. 25-64 years,20
2015,female.basic.elementary general or no education. 15-24 years,23.4
2016,female.basic.elementary general or no education. 15-24 years,23
2017,female.basic.elementary general or no education. 15-24 years,23.7
2018,female.basic.elementary general or no education. 15-24 years,24.2
2019,female.basic.elementary general or no education. 15-24 years,25.8
2020,female.basic.elementary general or no education. 15-24 years,28.7
2015,female.basic.elementary general or no education. 25-64 years,2.9
2016,female.basic.elementary general or no education. 25-64 years,2.9
2017,female.basic.elementary general or no education. 25-64 years,2.8
2018,female.basic.elementary general or no education. 25-64 years,2.5
2019,female.basic.elementary general or no education. 25-64 years,2.8
2020,female.basic.elementary general or no education. 25-64 years,2.8
2015,male. 15-24 years,100
2016,male. 15-24 years,100
2017,male. 15-24 years,100
2018,male. 15-24 years,100
2019,male. 15-24 years,100
2020,male. 15-24 years,100
2015,male. 25-64 years,100
2016,male. 25-64 years,100
2017,male. 25-64 years,100
2018,male. 25-64 years,100
2019,male. 25-64 years,100
2020,male. 25-64 years,100
2015,male.complete higher. 15-24 years,8.3
2016,male.complete higher. 15-24 years,7.8
2017,male.complete higher. 15-24 years,8.5
2018,male.complete higher. 15-24 years,8.2
2019,male.complete higher. 15-24 years,8.6
2020,male.complete higher. 15-24 years,6.3
2015,male.complete higher. 25-64 years,26.4
2016,male.complete higher. 25-64 years,27
2017,male.complete higher. 25-64 years,27.6
2018,male.complete higher. 25-64 years,28.1
2019,male.complete higher. 25-64 years,26.7
2020,male.complete higher. 25-64 years,27.1
2015,male.basic higher. 15-24 years,4.5
2016,male.basic higher. 15-24 years,4.9
2017,male.basic higher. 15-24 years,4.7
2018,male.basic higher. 15-24 years,4.2
2019,male.basic higher. 15-24 years,5.1
2020,male.basic higher. 15-24 years,4.8
2015,male.basic higher. 25-64 years,0.7
2016,male.basic higher. 25-64 years,0.8
2017,male.basic higher. 25-64 years,0.7
2018,male.basic higher. 25-64 years,1
2019,male.basic higher. 25-64 years,1.5
2020,male.basic higher. 25-64 years,1.4
2015,male.incomplete higher. 15-24 years,9.1
2016,male.incomplete higher. 15-24 years,8.6
2017,male.incomplete higher. 15-24 years,9
2018,male.incomplete higher. 15-24 years,7.5
2019,male.incomplete higher. 15-24 years,9.2
2020,male.incomplete higher. 15-24 years,9
2015,male.incomplete higher. 25-64 years,15
2016,male.incomplete higher. 25-64 years,15.2
2017,male.incomplete higher. 25-64 years,15.3
2018,male.incomplete higher. 25-64 years,14.5
2019,male.incomplete higher. 25-64 years,15.5
2020,male.incomplete higher. 25-64 years,15.4
2015,male.professional and technical. 15-24 years,17.2
2016,male.professional and technical. 15-24 years,17.3
2017,male.professional and technical. 15-24 years,15.7
2018,male.professional and technical. 15-24 years,15
2019,male.professional and technical. 15-24 years,15.4
2020,male.professional and technical. 15-24 years,14.1
2015,male.professional and technical. 25-64 years,32.5
2016,male.professional and technical. 25-64 years,32.6
2017,male.professional and technical. 25-64 years,32.3
2018,male.professional and technical. 25-64 years,32.6
2019,male.professional and technical. 25-64 years,32.7
2020,male.professional and technical. 25-64 years,32.8
2015,male.complete total average. 15-24 years,37.8
2016,male.complete total average. 15-24 years,37.7
2017,male.complete total average. 15-24 years,36.9
2018,male.complete total average. 15-24 years,37.8
2019,male.complete total average. 15-24 years,35.5
2020,male.complete total average. 15-24 years,35.8
2015,male.complete total average. 25-64 years,22
2016,male.complete total average. 25-64 years,21.3
2017,male.complete total average. 25-64 years,21.3
2018,male.complete total average. 25-64 years,20.9
2019,male.complete total average. 25-64 years,20
2020,male.complete total average. 25-64 years,19.8
2015,male.basic.elementary general or no education. 15-24 years,23.1
2016,male.basic.elementary general or no education. 15-24 years,23.7
2017,male.basic.elementary general or no education. 15-24 years,25.2
2018,male.basic.elementary general or no education. 15-24 years,27.3
2019,male.basic.elementary general or no education. 15-24 years,26.2
2020,male.basic.elementary general or no education. 15-24 years,30
2015,male.basic.elementary general or no education. 25-64 years,3.4
2016,male.basic.elementary general or no education. 25-64 years,3.1
2017,male.basic.elementary general or no education. 25-64 years,2.8
2018,male.basic.elementary general or no education. 25-64 years,2.9
2019,male.basic.elementary general or no education. 25-64 years,3.6
2020,male.basic.elementary general or no education. 25-64 years,3.5
