Year,Сomponent of the index,Region,Age,Gender,Value
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,,males,4.7
2018,tolerance and socially responsible citizenship,Dnipropetrovsk,,males,
2019,tolerance and socially responsible citizenship,Dnipropetrovsk,,males,
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,,females,4.8
2018,tolerance and socially responsible citizenship,Dnipropetrovsk,,females,
2019,tolerance and socially responsible citizenship,Dnipropetrovsk,,females,
2017,tolerance and socially responsible citizenship,Zaporizhya,18-35 years,,4.9
2018,tolerance and socially responsible citizenship,Zaporizhya,18-35 years,,
2019,tolerance and socially responsible citizenship,Zaporizhya,18-35 years,,
2017,tolerance and socially responsible citizenship,Zaporizhya,36-60 years,,4.8
2018,tolerance and socially responsible citizenship,Zaporizhya,36-60 years,,
2019,tolerance and socially responsible citizenship,Zaporizhya,36-60 years,,
2017,tolerance and socially responsible citizenship,Zaporizhya,over 61 years,,4.8
2018,tolerance and socially responsible citizenship,Zaporizhya,over 61 years,,
2019,tolerance and socially responsible citizenship,Zaporizhya,over 61 years,,
2017,tolerance and socially responsible citizenship,Zaporizhya,,males,4.7
2018,tolerance and socially responsible citizenship,Zaporizhya,,males,
2019,tolerance and socially responsible citizenship,Zaporizhya,,males,
2017,tolerance and socially responsible citizenship,Zaporizhya,,females,5.0
2018,tolerance and socially responsible citizenship,Zaporizhya,,females,
2019,tolerance and socially responsible citizenship,Zaporizhya,,females,
2017,tolerance and socially responsible citizenship,Kharkiv,18-35 years,,4.7
2018,tolerance and socially responsible citizenship,Kharkiv,18-35 years,,
2019,tolerance and socially responsible citizenship,Kharkiv,18-35 years,,
2017,tolerance and socially responsible citizenship,Kharkiv,36-60 years,,4.8
2018,tolerance and socially responsible citizenship,Kharkiv,36-60 years,,
2019,tolerance and socially responsible citizenship,Kharkiv,36-60 years,,
2017,tolerance and socially responsible citizenship,Kharkiv,over 61 years,,4.7
2018,tolerance and socially responsible citizenship,Kharkiv,over 61 years,,
2019,tolerance and socially responsible citizenship,Kharkiv,over 61 years,,
2017,tolerance and socially responsible citizenship,Kharkiv,,males,4.6
2018,tolerance and socially responsible citizenship,Kharkiv,,males,
2019,tolerance and socially responsible citizenship,Kharkiv,,males,
2017,tolerance and socially responsible citizenship,Kharkiv,,females,4.9
2018,tolerance and socially responsible citizenship,Kharkiv,,females,
2019,tolerance and socially responsible citizenship,Kharkiv,,females,
2017,psycho-social adaptability,Donetsk,18-35 years,,
2018,psycho-social adaptability,Donetsk,18-35 years,,
2019,psycho-social adaptability,Donetsk,18-35 years,,
2017,psycho-social adaptability,Donetsk,36-60 years,,7.8
2018,psycho-social adaptability,Donetsk,36-60 years,,
2019,psycho-social adaptability,Donetsk,36-60 years,,
2017,psycho-social adaptability,Donetsk,over 61 years,,7.8
2018,psycho-social adaptability,Donetsk,over 61 years,,
2019,psycho-social adaptability,Donetsk,over 61 years,,
2017,psycho-social adaptability,Donetsk,,males,7.7
2018,psycho-social adaptability,Donetsk,,males,
2019,psycho-social adaptability,Donetsk,,males,
2017,psycho-social adaptability,Donetsk,,females,7.9
2018,psycho-social adaptability,Donetsk,,females,
2019,psycho-social adaptability,Donetsk,,females,
2017,psycho-social adaptability,Luhansk,18-35 years,,7.9
2018,psycho-social adaptability,Luhansk,18-35 years,,
2019,psycho-social adaptability,Luhansk,18-35 years,,
2017,psycho-social adaptability,Luhansk,36-60 years,,7.9
2018,psycho-social adaptability,Luhansk,36-60 years,,
2019,psycho-social adaptability,Luhansk,36-60 years,,
2017,psycho-social adaptability,Luhansk,over 61 years,,7.8
2018,psycho-social adaptability,Luhansk,over 61 years,,
2019,psycho-social adaptability,Luhansk,over 61 years,,
2017,psycho-social adaptability,Luhansk,,males,7.8
2018,psycho-social adaptability,Luhansk,,males,
2019,psycho-social adaptability,Luhansk,,males,
2017,psycho-social adaptability,Luhansk,,females,7.9
2018,psycho-social adaptability,Luhansk,,females,
2019,psycho-social adaptability,Luhansk,,females,
2017,psycho-social adaptability,Dnipropetrovsk,18-35 years,,7.7
2018,psycho-social adaptability,Dnipropetrovsk,18-35 years,,
2019,psycho-social adaptability,Dnipropetrovsk,18-35 years,,
2017,psycho-social adaptability,Dnipropetrovsk,36-60 years,,7.7
2018,psycho-social adaptability,Dnipropetrovsk,36-60 years,,
2019,psycho-social adaptability,Dnipropetrovsk,36-60 years,,
2017,psycho-social adaptability,Dnipropetrovsk,over 61 years,,7.7
2018,psycho-social adaptability,Dnipropetrovsk,over 61 years,,
2019,psycho-social adaptability,Dnipropetrovsk,over 61 years,,
2017,psycho-social adaptability,Dnipropetrovsk,,males,7.6
2018,psycho-social adaptability,Dnipropetrovsk,,males,
2019,psycho-social adaptability,Dnipropetrovsk,,males,
2017,psycho-social adaptability,Dnipropetrovsk,,females,7.7
2018,psycho-social adaptability,Dnipropetrovsk,,females,
2019,psycho-social adaptability,Dnipropetrovsk,,females,
2017,psycho-social adaptability,Zaporizhya,18-35 years,,7.8
2018,psycho-social adaptability,Zaporizhya,18-35 years,,
2019,psycho-social adaptability,Zaporizhya,18-35 years,,
2017,psycho-social adaptability,Zaporizhya,36-60 years,,7.8
2018,psycho-social adaptability,Zaporizhya,36-60 years,,
2019,psycho-social adaptability,Zaporizhya,36-60 years,,
2017,psycho-social adaptability,Zaporizhya,over 61 years,,7.8
2018,psycho-social adaptability,Zaporizhya,over 61 years,,
2019,psycho-social adaptability,Zaporizhya,over 61 years,,
2017,psycho-social adaptability,Zaporizhya,,males,7.6
2018,psycho-social adaptability,Zaporizhya,,males,
2019,psycho-social adaptability,Zaporizhya,,males,
2017,psycho-social adaptability,Zaporizhya,,females,8.0
2018,psycho-social adaptability,Zaporizhya,,females,
2019,psycho-social adaptability,Zaporizhya,,females,
2017,psycho-social adaptability,Kharkiv,18-35 years,,7.7
2018,psycho-social adaptability,Kharkiv,18-35 years,,
2019,psycho-social adaptability,Kharkiv,18-35 years,,
2017,psycho-social adaptability,Kharkiv,36-60 years,,7.8
2018,psycho-social adaptability,Kharkiv,36-60 years,,
2019,psycho-social adaptability,Kharkiv,36-60 years,,
2017,psycho-social adaptability,Kharkiv,over 61 years,,7.8
2018,psycho-social adaptability,Kharkiv,over 61 years,,
2019,psycho-social adaptability,Kharkiv,over 61 years,,
2017,psycho-social adaptability,Kharkiv,,males,7.6
2018,psycho-social adaptability,Kharkiv,,males,
2019,psycho-social adaptability,Kharkiv,,males,
2017,psycho-social adaptability,Kharkiv,,females,7.9
2018,psycho-social adaptability,Kharkiv,,females,
2019,psycho-social adaptability,Kharkiv,,females,
2017,reducing negative migration trends,Donetsk,18-35 years,,
2018,reducing negative migration trends,Donetsk,18-35 years,,5.5
2019,reducing negative migration trends,Donetsk,18-35 years,,
2017,reducing negative migration trends,Donetsk,36-60 years,,4.1
2018,reducing negative migration trends,Donetsk,36-60 years,,4.8
2019,reducing negative migration trends,Donetsk,36-60 years,,
2017,reducing negative migration trends,Donetsk,over 61 years,,3.3
2018,reducing negative migration trends,Donetsk,over 61 years,,3.8
2019,reducing negative migration trends,Donetsk,over 61 years,,
2017,reducing negative migration trends,Donetsk,,males,4.2
2018,reducing negative migration trends,Donetsk,,males,4.9
2019,reducing negative migration trends,Donetsk,,males,
2017,reducing negative migration trends,Donetsk,,females,4.2
2018,reducing negative migration trends,Donetsk,,females,4.6
2019,reducing negative migration trends,Donetsk,,females,
2017,reducing negative migration trends,Luhansk,18-35 years,,5.4
2018,reducing negative migration trends,Luhansk,18-35 years,,6.1
2019,reducing negative migration trends,Luhansk,18-35 years,,
2017,reducing negative migration trends,Luhansk,36-60 years,,4.4
2018,reducing negative migration trends,Luhansk,36-60 years,,5.4
2019,reducing negative migration trends,Luhansk,36-60 years,,
2017,reducing negative migration trends,Luhansk,over 61 years,,3.5
2018,reducing negative migration trends,Luhansk,over 61 years,,4.3
2019,reducing negative migration trends,Luhansk,over 61 years,,
2017,reducing negative migration trends,Luhansk,,males,4.4
2018,reducing negative migration trends,Luhansk,,males,5.3
2019,reducing negative migration trends,Luhansk,,males,
2017,reducing negative migration trends,Luhansk,,females,4.4
2018,reducing negative migration trends,Luhansk,,females,5.3
2019,reducing negative migration trends,Luhansk,,females,
2017,reducing negative migration trends,Dnipropetrovsk,18-35 years,,5.0
2018,reducing negative migration trends,Dnipropetrovsk,18-35 years,,5.7
2019,reducing negative migration trends,Dnipropetrovsk,18-35 years,,
2017,reducing negative migration trends,Dnipropetrovsk,36-60 years,,4.0
2018,reducing negative migration trends,Dnipropetrovsk,36-60 years,,4.6
2019,reducing negative migration trends,Dnipropetrovsk,36-60 years,,
2017,reducing negative migration trends,Dnipropetrovsk,over 61 years,,3.2
2018,reducing negative migration trends,Dnipropetrovsk,over 61 years,,3.5
2019,reducing negative migration trends,Dnipropetrovsk,over 61 years,,
2017,reducing negative migration trends,Dnipropetrovsk,,males,4.3
2018,reducing negative migration trends,Dnipropetrovsk,,males,4.8
2019,reducing negative migration trends,Dnipropetrovsk,,males,
2017,reducing negative migration trends,Dnipropetrovsk,,females,3.9
2018,reducing negative migration trends,Dnipropetrovsk,,females,4.6
2019,reducing negative migration trends,Dnipropetrovsk,,females,
2017,reducing negative migration trends,Zaporizhya,18-35 years,,5.4
2018,reducing negative migration trends,Zaporizhya,18-35 years,,5.4
2019,reducing negative migration trends,Zaporizhya,18-35 years,,
2017,reducing negative migration trends,Zaporizhya,36-60 years,,4.1
2018,reducing negative migration trends,Zaporizhya,36-60 years,,4.4
2019,reducing negative migration trends,Zaporizhya,36-60 years,,
2017,reducing negative migration trends,Zaporizhya,over 61 years,,3.0
2018,reducing negative migration trends,Zaporizhya,over 61 years,,3.4
2019,reducing negative migration trends,Zaporizhya,over 61 years,,
2017,reducing negative migration trends,Zaporizhya,,males,4.2
2018,reducing negative migration trends,Zaporizhya,,males,4.6
2019,reducing negative migration trends,Zaporizhya,,males,
2017,reducing negative migration trends,Zaporizhya,,females,4.2
2018,reducing negative migration trends,Zaporizhya,,females,4.4
2019,reducing negative migration trends,Zaporizhya,,females,
2017,reducing negative migration trends,Kharkiv,18-35 years,,5.0
2018,reducing negative migration trends,Kharkiv,18-35 years,,5.7
2019,reducing negative migration trends,Kharkiv,18-35 years,,
2017,reducing negative migration trends,Kharkiv,36-60 years,,4.1
2018,reducing negative migration trends,Kharkiv,36-60 years,,4.7
2019,reducing negative migration trends,Kharkiv,36-60 years,,
2017,reducing negative migration trends,Kharkiv,over 61 years,,3.2
2018,reducing negative migration trends,Kharkiv,over 61 years,,4.2
2019,reducing negative migration trends,Kharkiv,over 61 years,,
2017,reducing negative migration trends,Kharkiv,,males,4.3
2018,reducing negative migration trends,Kharkiv,,males,5.1
2019,reducing negative migration trends,Kharkiv,,males,
2017,reducing negative migration trends,Kharkiv,,females,4.1
2018,reducing negative migration trends,Kharkiv,,females,4.7
2019,reducing negative migration trends,Kharkiv,,females,
2017,readiness for dialogue,Donetsk,18-35 years,,
2018,readiness for dialogue,Donetsk,18-35 years,,6.6
2019,readiness for dialogue,Donetsk,18-35 years,,
2017,readiness for dialogue,Donetsk,36-60 years,,
2018,readiness for dialogue,Donetsk,36-60 years,,6.7
2019,readiness for dialogue,Donetsk,36-60 years,,
2017,readiness for dialogue,Donetsk,over 61 years,,
2018,readiness for dialogue,Donetsk,over 61 years,,6.8
2019,readiness for dialogue,Donetsk,over 61 years,,
2017,readiness for dialogue,Donetsk,,males,
2018,readiness for dialogue,Donetsk,,males,6.6
2019,readiness for dialogue,Donetsk,,males,
2017,readiness for dialogue,Donetsk,,females,
2018,readiness for dialogue,Donetsk,,females,6.8
2019,readiness for dialogue,Donetsk,,females,
2017,readiness for dialogue,Luhansk,18-35 years,,
2018,readiness for dialogue,Luhansk,18-35 years,,6.0
2019,readiness for dialogue,Luhansk,18-35 years,,
2017,readiness for dialogue,Luhansk,36-60 years,,
2018,readiness for dialogue,Luhansk,36-60 years,,6.3
2019,readiness for dialogue,Luhansk,36-60 years,,
2017,readiness for dialogue,Luhansk,over 61 years,,
2018,readiness for dialogue,Luhansk,over 61 years,,6.0
2019,readiness for dialogue,Luhansk,over 61 years,,
2017,readiness for dialogue,Luhansk,,males,
2018,readiness for dialogue,Luhansk,,males,6.2
2019,readiness for dialogue,Luhansk,,males,
2017,readiness for dialogue,Luhansk,,females,
2018,readiness for dialogue,Luhansk,,females,6.1
2019,readiness for dialogue,Luhansk,,females,
2017,readiness for dialogue,Dnipropetrovsk,18-35 years,,
2018,readiness for dialogue,Dnipropetrovsk,18-35 years,,5.9
2019,readiness for dialogue,Dnipropetrovsk,18-35 years,,
2017,readiness for dialogue,Dnipropetrovsk,36-60 years,,
2018,readiness for dialogue,Dnipropetrovsk,36-60 years,,5.9
2019,readiness for dialogue,Dnipropetrovsk,36-60 years,,
2017,readiness for dialogue,Dnipropetrovsk,over 61 years,,
2018,readiness for dialogue,Dnipropetrovsk,over 61 years,,5.6
2019,readiness for dialogue,Dnipropetrovsk,over 61 years,,
2017,readiness for dialogue,Dnipropetrovsk,,males,
2018,readiness for dialogue,Dnipropetrovsk,,males,6.0
2019,readiness for dialogue,Dnipropetrovsk,,males,
2017,readiness for dialogue,Dnipropetrovsk,,females,
2018,readiness for dialogue,Dnipropetrovsk,,females,5.7
2019,readiness for dialogue,Dnipropetrovsk,,females,
2017,readiness for dialogue,Zaporizhya,18-35 years,,
2018,readiness for dialogue,Zaporizhya,18-35 years,,5.8
2019,readiness for dialogue,Zaporizhya,18-35 years,,
2017,readiness for dialogue,Zaporizhya,36-60 years,,
2018,readiness for dialogue,Zaporizhya,36-60 years,,6.5
2019,readiness for dialogue,Zaporizhya,36-60 years,,
2017,readiness for dialogue,Zaporizhya,over 61 years,,
2018,readiness for dialogue,Zaporizhya,over 61 years,,6.2
2019,readiness for dialogue,Zaporizhya,over 61 years,,
2017,readiness for dialogue,Zaporizhya,,males,
2018,readiness for dialogue,Zaporizhya,,males,6.2
2019,readiness for dialogue,Zaporizhya,,males,
2017,readiness for dialogue,Zaporizhya,,females,
2018,readiness for dialogue,Zaporizhya,,females,6.2
2019,readiness for dialogue,Zaporizhya,,females,
2017,readiness for dialogue,Kharkiv,18-35 years,,
2018,readiness for dialogue,Kharkiv,18-35 years,,6.2
2019,readiness for dialogue,Kharkiv,18-35 years,,
2017,readiness for dialogue,Kharkiv,36-60 years,,
2018,readiness for dialogue,Kharkiv,36-60 years,,6.3
2019,readiness for dialogue,Kharkiv,36-60 years,,
2017,readiness for dialogue,Kharkiv,over 61 years,,
2018,readiness for dialogue,Kharkiv,over 61 years,,6.6
2019,readiness for dialogue,Kharkiv,over 61 years,,
2017,readiness for dialogue,Kharkiv,,males,
2018,readiness for dialogue,Kharkiv,,males,6.8
2019,readiness for dialogue,Kharkiv,,males,
2017,readiness for dialogue,Kharkiv,,females,
2018,readiness for dialogue,Kharkiv,,females,6.1
2019,readiness for dialogue,Kharkiv,,females,
2017,civic behavior,Donetsk,18-35 years,,
2018,civic behavior,Donetsk,18-35 years,,4.7
2019,civic behavior,Donetsk,18-35 years,,6.6
2017,civic behavior,Donetsk,36-60 years,,
2018,civic behavior,Donetsk,36-60 years,,3.4
2019,civic behavior,Donetsk,36-60 years,,6.5
2017,civic behavior,Donetsk,over 61 years,,
2018,civic behavior,Donetsk,over 61 years,,2.2
2019,civic behavior,Donetsk,over 61 years,,6.3
2017,civic behavior,Donetsk,,males,
2018,civic behavior,Donetsk,,males,3.8
2019,civic behavior,Donetsk,,males,6.6
2017,civic behavior,Donetsk,,females,
2018,civic behavior,Donetsk,,females,3.2
2019,civic behavior,Donetsk,,females,6.4
2017,civic behavior,Luhansk,18-35 years,,
2018,civic behavior,Luhansk,18-35 years,,4.4
2019,civic behavior,Luhansk,18-35 years,,7.0
2017,civic behavior,Luhansk,36-60 years,,
2018,civic behavior,Luhansk,36-60 years,,4.3
2019,civic behavior,Luhansk,36-60 years,,6.2
2017,civic behavior,Luhansk,over 61 years,,
2018,civic behavior,Luhansk,over 61 years,,2.3
2019,civic behavior,Luhansk,over 61 years,,5.8
2017,civic behavior,Luhansk,,males,
2018,civic behavior,Luhansk,,males,4.2
2019,civic behavior,Luhansk,,males,6.2
2017,civic behavior,Luhansk,,females,
2018,civic behavior,Luhansk,,females,3.5
2019,civic behavior,Luhansk,,females,6.4
2017,civic behavior,Dnipropetrovsk,18-35 years,,
2018,civic behavior,Dnipropetrovsk,18-35 years,,5.0
2019,civic behavior,Dnipropetrovsk,18-35 years,,
2017,civic behavior,Dnipropetrovsk,36-60 years,,
2018,civic behavior,Dnipropetrovsk,36-60 years,,4.7
2019,civic behavior,Dnipropetrovsk,36-60 years,,
2017,civic behavior,Dnipropetrovsk,over 61 years,,
2018,civic behavior,Dnipropetrovsk,over 61 years,,4.2
2019,civic behavior,Dnipropetrovsk,over 61 years,,
2017,civic behavior,Dnipropetrovsk,,males,
2018,civic behavior,Dnipropetrovsk,,males,5.3
2019,civic behavior,Dnipropetrovsk,,males,
2017,civic behavior,Dnipropetrovsk,,females,
2018,civic behavior,Dnipropetrovsk,,females,4.1
2019,civic behavior,Dnipropetrovsk,,females,
2017,civic behavior,Zaporizhya,18-35 years,,
2018,civic behavior,Zaporizhya,18-35 years,,4.8
2019,civic behavior,Zaporizhya,18-35 years,,
2017,civic behavior,Zaporizhya,36-60 years,,
2018,civic behavior,Zaporizhya,36-60 years,,4.6
2019,civic behavior,Zaporizhya,36-60 years,,
2017,civic behavior,Zaporizhya,over 61 years,,
2018,civic behavior,Zaporizhya,over 61 years,,3.4
2019,civic behavior,Zaporizhya,over 61 years,,
2017,civic behavior,Zaporizhya,,males,
2018,civic behavior,Zaporizhya,,males,4.5
2019,civic behavior,Zaporizhya,,males,
2017,civic behavior,Zaporizhya,,females,
2018,civic behavior,Zaporizhya,,females,4.2
2019,civic behavior,Zaporizhya,,females,
2017,civic behavior,Kharkiv,18-35 years,,
2018,civic behavior,Kharkiv,18-35 years,,4.4
2019,civic behavior,Kharkiv,18-35 years,,
2017,civic behavior,Kharkiv,36-60 years,,
2018,civic behavior,Kharkiv,36-60 years,,4.1
2019,civic behavior,Kharkiv,36-60 years,,
2017,civic behavior,Kharkiv,over 61 years,,
2018,civic behavior,Kharkiv,over 61 years,,2.1
2019,civic behavior,Kharkiv,over 61 years,,
2017,civic behavior,Kharkiv,,males,
2018,civic behavior,Kharkiv,,males,3.9
2019,civic behavior,Kharkiv,,males,
2017,civic behavior,Kharkiv,,females,
2018,civic behavior,Kharkiv,,females,3.6
2019,civic behavior,Kharkiv,,females,
2017,relations with government and safety,Donetsk,18-35 years,,
2018,relations with government and safety,Donetsk,18-35 years,,0.9
2019,relations with government and safety,Donetsk,18-35 years,,
2017,relations with government and safety,Donetsk,36-60 years,,
2018,relations with government and safety,Donetsk,36-60 years,,0.9
2019,relations with government and safety,Donetsk,36-60 years,,
2017,relations with government and safety,Donetsk,over 61 years,,
2018,relations with government and safety,Donetsk,over 61 years,,0.6
2019,relations with government and safety,Donetsk,over 61 years,,
2017,relations with government and safety,Donetsk,,males,
2018,relations with government and safety,Donetsk,,males,0.9
2019,relations with government and safety,Donetsk,,males,
2017,relations with government and safety,Donetsk,,females,
2018,relations with government and safety,Donetsk,,females,0.8
2019,relations with government and safety,Donetsk,,females,
2017,relations with government and safety,Luhansk,18-35 years,,
2018,relations with government and safety,Luhansk,18-35 years,,0.8
2019,relations with government and safety,Luhansk,18-35 years,,
2017,relations with government and safety,Luhansk,36-60 years,,
2018,relations with government and safety,Luhansk,36-60 years,,0.9
2019,relations with government and safety,Luhansk,36-60 years,,
2017,relations with government and safety,Luhansk,over 61 years,,
2018,relations with government and safety,Luhansk,over 61 years,,0.6
2019,relations with government and safety,Luhansk,over 61 years,,
2017,relations with government and safety,Luhansk,,males,
2018,relations with government and safety,Luhansk,,males,0.9
2019,relations with government and safety,Luhansk,,males,
2017,relations with government and safety,Luhansk,,females,
2018,relations with government and safety,Luhansk,,females,0.7
2019,relations with government and safety,Luhansk,,females,
2017,relations with government and safety,Dnipropetrovsk,18-35 years,,
2018,relations with government and safety,Dnipropetrovsk,18-35 years,,1.1
2019,relations with government and safety,Dnipropetrovsk,18-35 years,,
2017,relations with government and safety,Dnipropetrovsk,36-60 years,,
2018,relations with government and safety,Dnipropetrovsk,36-60 years,,0.8
2019,relations with government and safety,Dnipropetrovsk,36-60 years,,
2017,relations with government and safety,Dnipropetrovsk,over 61 years,,
2018,relations with government and safety,Dnipropetrovsk,over 61 years,,0.6
2019,relations with government and safety,Dnipropetrovsk,over 61 years,,
