Year,Type of residence,Region,Value
2020,,24_reg_Odesa,71.0
2015,,25_reg_Poltava,8.0
2016,,25_reg_Poltava,27.0
2017,,25_reg_Poltava,46.0
2018,,25_reg_Poltava,54.0
2019,,25_reg_Poltava,36.0
2020,,25_reg_Poltava,43.0
2015,,26_reg_Rivne,5.0
2016,,26_reg_Rivne,28.0
2017,,26_reg_Rivne,44.0
2018,,26_reg_Rivne,51.0
2019,,26_reg_Rivne,48.0
2020,,26_reg_Rivne,56.0
2015,,27_reg_Sumy,7.0
2016,,27_reg_Sumy,26.0
2017,,27_reg_Sumy,44.0
2018,,27_reg_Sumy,51.0
2019,,27_reg_Sumy,47.0
2020,,27_reg_Sumy,51.0
2015,,28_reg_Ternopil,8.0
2016,,28_reg_Ternopil,25.0
2017,,28_reg_Ternopil,42.0
2018,,28_reg_Ternopil,49.0
2019,,28_reg_Ternopil,47.0
2020,,28_reg_Ternopil,53.0
2015,,29_reg_Kharkiv,8.0
2016,,29_reg_Kharkiv,35.0
2017,,29_reg_Kharkiv,51.0
2018,,29_reg_Kharkiv,59.0
2019,,29_reg_Kharkiv,39.0
2020,,29_reg_Kharkiv,41.0
2015,,30_reg_Kherson,8.0
2016,,30_reg_Kherson,27.0
2017,,30_reg_Kherson,46.0
2018,,30_reg_Kherson,52.0
2019,,30_reg_Kherson,45.0
2020,,30_reg_Kherson,54.0
2015,,31_reg_Khmelnytskiy,7.0
2016,,31_reg_Khmelnytskiy,27.0
2017,,31_reg_Khmelnytskiy,45.0
2018,,31_reg_Khmelnytskiy,52.0
2019,,31_reg_Khmelnytskiy,47.0
2020,,31_reg_Khmelnytskiy,52.0
2015,,32_reg_Cherkasy,7.0
2016,,32_reg_Cherkasy,39.0
2017,,32_reg_Cherkasy,55.0
2018,,32_reg_Cherkasy,57.0
2019,,32_reg_Cherkasy,33.0
2020,,32_reg_Cherkasy,41.0
2015,,33_reg_Chernivtsi,6.0
2016,,33_reg_Chernivtsi,23.0
2017,,33_reg_Chernivtsi,40.0
2018,,33_reg_Chernivtsi,47.0
2019,,33_reg_Chernivtsi,32.0
2020,,33_reg_Chernivtsi,29.0
2015,,34_reg_Chernihiv,8.0
2016,,34_reg_Chernihiv,42.0
2017,,34_reg_Chernihiv,59.0
2018,,34_reg_Chernihiv,67.0
2019,,34_reg_Chernihiv,30.0
2020,,34_reg_Chernihiv,38.0
2015,,35_reg_Kyiv_city,68.0
2016,,35_reg_Kyiv_city,92.0
2017,,35_reg_Kyiv_city,106.0
2018,,35_reg_Kyiv_city,116.0
2019,,35_reg_Kyiv_city,78.0
2020,,35_reg_Kyiv_city,86.0
2015,urban,,
2016,urban,,55.0
2017,urban,,78.0
2018,urban,,87.0
2019,urban,,58.0
2020,urban,,61.0
2015,urban,11_reg_Vinnytsya,
2016,urban,11_reg_Vinnytsya,71.0
2017,urban,11_reg_Vinnytsya,100.0
2018,urban,11_reg_Vinnytsya,117.0
2019,urban,11_reg_Vinnytsya,65.0
2020,urban,11_reg_Vinnytsya,66.0
2015,urban,12_reg_Volyn,
2016,urban,12_reg_Volyn,60.0
2017,urban,12_reg_Volyn,90.0
2018,urban,12_reg_Volyn,104.0
2019,urban,12_reg_Volyn,59.0
2020,urban,12_reg_Volyn,61.0
2015,urban,13_reg_Dnipropetrovsk,
2016,urban,13_reg_Dnipropetrovsk,37.0
2017,urban,13_reg_Dnipropetrovsk,57.0
2018,urban,13_reg_Dnipropetrovsk,66.0
2019,urban,13_reg_Dnipropetrovsk,52.0
2020,urban,13_reg_Dnipropetrovsk,54.0
2015,urban,14_reg_Donetsk,
2016,urban,14_reg_Donetsk,29.0
2017,urban,14_reg_Donetsk,50.0
2018,urban,14_reg_Donetsk,47.0
2019,urban,14_reg_Donetsk,33.0
2020,urban,14_reg_Donetsk,39.0
2015,urban,15_reg_Zhytomyr,
2016,urban,15_reg_Zhytomyr,61.0
2017,urban,15_reg_Zhytomyr,86.0
2018,urban,15_reg_Zhytomyr,92.0
2019,urban,15_reg_Zhytomyr,47.0
2020,urban,15_reg_Zhytomyr,52.0
2015,urban,16_reg_Zakarpattya,
2016,urban,16_reg_Zakarpattya,61.0
2017,urban,16_reg_Zakarpattya,105.0
2018,urban,16_reg_Zakarpattya,121.0
2019,urban,16_reg_Zakarpattya,52.0
2020,urban,16_reg_Zakarpattya,51.0
2015,urban,17_reg_Zaporizhya,
2016,urban,17_reg_Zaporizhya,44.0
2017,urban,17_reg_Zaporizhya,65.0
2018,urban,17_reg_Zaporizhya,64.0
2019,urban,17_reg_Zaporizhya,59.0
2020,urban,17_reg_Zaporizhya,65.0
2015,urban,18_reg_Ivano-Frankivsk,
2016,urban,18_reg_Ivano-Frankivsk,50.0
2017,urban,18_reg_Ivano-Frankivsk,89.0
2018,urban,18_reg_Ivano-Frankivsk,103.0
2019,urban,18_reg_Ivano-Frankivsk,68.0
2020,urban,18_reg_Ivano-Frankivsk,76.0
2015,urban,19_reg_Kyiv,
2016,urban,19_reg_Kyiv,65.0
2017,urban,19_reg_Kyiv,93.0
2018,urban,19_reg_Kyiv,109.0
2019,urban,19_reg_Kyiv,76.0
2020,urban,19_reg_Kyiv,77.0
2015,urban,20_reg_Kirovohrad,
2016,urban,20_reg_Kirovohrad,36.0
2017,urban,20_reg_Kirovohrad,66.0
2018,urban,20_reg_Kirovohrad,77.0
2019,urban,20_reg_Kirovohrad,41.0
2020,urban,20_reg_Kirovohrad,44.0
2015,urban,21_reg_Luhansk,
2016,urban,21_reg_Luhansk,24.0
2017,urban,21_reg_Luhansk,44.0
2018,urban,21_reg_Luhansk,49.0
2019,urban,21_reg_Luhansk,30.0
2020,urban,21_reg_Luhansk,36.0
2015,urban,22_reg_Lviv,
2016,urban,22_reg_Lviv,68.0
2017,urban,22_reg_Lviv,87.0
2018,urban,22_reg_Lviv,103.0
2019,urban,22_reg_Lviv,67.0
2020,urban,22_reg_Lviv,73.0
2015,urban,23_reg_Mykolayiv,
2016,urban,23_reg_Mykolayiv,64.0
2017,urban,23_reg_Mykolayiv,90.0
2018,urban,23_reg_Mykolayiv,102.0
2019,urban,23_reg_Mykolayiv,55.0
2020,urban,23_reg_Mykolayiv,55.0
2015,urban,24_reg_Odesa,
2016,urban,24_reg_Odesa,139.0
2017,urban,24_reg_Odesa,156.0
2018,urban,24_reg_Odesa,165.0
2019,urban,24_reg_Odesa,80.0
2020,urban,24_reg_Odesa,89.0
2015,urban,25_reg_Poltava,
2016,urban,25_reg_Poltava,41.0
2017,urban,25_reg_Poltava,69.0
2018,urban,25_reg_Poltava,81.0
2019,urban,25_reg_Poltava,51.0
2020,urban,25_reg_Poltava,50.0
2015,urban,26_reg_Rivne,
2016,urban,26_reg_Rivne,55.0
2017,urban,26_reg_Rivne,88.0
2018,urban,26_reg_Rivne,103.0
2019,urban,26_reg_Rivne,71.0
2020,urban,26_reg_Rivne,77.0
2015,urban,27_reg_Sumy,
2016,urban,27_reg_Sumy,36.0
2017,urban,27_reg_Sumy,62.0
2018,urban,27_reg_Sumy,72.0
2019,urban,27_reg_Sumy,64.0
2020,urban,27_reg_Sumy,65.0
2015,urban,28_reg_Ternopil,
2016,urban,28_reg_Ternopil,50.0
2017,urban,28_reg_Ternopil,88.0
2018,urban,28_reg_Ternopil,100.0
2019,urban,28_reg_Ternopil,55.0
2020,urban,28_reg_Ternopil,57.0
2015,urban,29_reg_Kharkiv,
2016,urban,29_reg_Kharkiv,43.0
2017,urban,29_reg_Kharkiv,62.0
2018,urban,29_reg_Kharkiv,72.0
2019,urban,29_reg_Kharkiv,45.0
2020,urban,29_reg_Kharkiv,44.0
2015,urban,30_reg_Kherson,
2016,urban,30_reg_Kherson,42.0
2017,urban,30_reg_Kherson,72.0
2018,urban,30_reg_Kherson,81.0
2019,urban,30_reg_Kherson,60.0
2020,urban,30_reg_Kherson,60.0
2015,urban,31_reg_Khmelnytskiy,
2016,urban,31_reg_Khmelnytskiy,47.0
2017,urban,31_reg_Khmelnytskiy,78.0
2018,urban,31_reg_Khmelnytskiy,89.0
2019,urban,31_reg_Khmelnytskiy,76.0
2020,urban,31_reg_Khmelnytskiy,77.0
2015,urban,32_reg_Cherkasy,
2016,urban,32_reg_Cherkasy,67.0
2017,urban,32_reg_Cherkasy,95.0
2018,urban,32_reg_Cherkasy,99.0
2019,urban,32_reg_Cherkasy,51.0
2020,urban,32_reg_Cherkasy,52.0
2015,urban,33_reg_Chernivtsi,
2016,urban,33_reg_Chernivtsi,48.0
2017,urban,33_reg_Chernivtsi,89.0
2018,urban,33_reg_Chernivtsi,103.0
2019,urban,33_reg_Chernivtsi,54.0
2020,urban,33_reg_Chernivtsi,42.0
2015,urban,34_reg_Chernihiv,
2016,urban,34_reg_Chernihiv,64.0
2017,urban,34_reg_Chernihiv,89.0
2018,urban,34_reg_Chernihiv,101.0
2019,urban,34_reg_Chernihiv,45.0
2020,urban,34_reg_Chernihiv,54.0
2015,urban,35_reg_Kyiv_city,
2016,urban,35_reg_Kyiv_city,
2017,urban,35_reg_Kyiv_city,
2018,urban,35_reg_Kyiv_city,
2019,urban,35_reg_Kyiv_city,78.0
2020,urban,35_reg_Kyiv_city,86.0
2015,rural,,
2016,rural,,3.0
2017,rural,,5.0
2018,rural,,5.0
2019,rural,,22.0
2020,rural,,34.0
2015,rural,11_reg_Vinnytsya,
2016,rural,11_reg_Vinnytsya,3.0
2017,rural,11_reg_Vinnytsya,4.0
2018,rural,11_reg_Vinnytsya,4.0
2019,rural,11_reg_Vinnytsya,13.0
2020,rural,11_reg_Vinnytsya,21.0
2015,rural,12_reg_Volyn,
2016,rural,12_reg_Volyn,2.0
2017,rural,12_reg_Volyn,2.0
2018,rural,12_reg_Volyn,2.0
2019,rural,12_reg_Volyn,41.0
2020,rural,12_reg_Volyn,46.0
2015,rural,13_reg_Dnipropetrovsk,
2016,rural,13_reg_Dnipropetrovsk,3.0
2017,rural,13_reg_Dnipropetrovsk,3.0
2018,rural,13_reg_Dnipropetrovsk,3.0
2019,rural,13_reg_Dnipropetrovsk,26.0
2020,rural,13_reg_Dnipropetrovsk,39.0
2015,rural,14_reg_Donetsk,
2016,rural,14_reg_Donetsk,3.0
2017,rural,14_reg_Donetsk,4.0
2018,rural,14_reg_Donetsk,4.0
2019,rural,14_reg_Donetsk,17.0
2020,rural,14_reg_Donetsk,34.0
2015,rural,15_reg_Zhytomyr,
2016,rural,15_reg_Zhytomyr,3.0
2017,rural,15_reg_Zhytomyr,4.0
2018,rural,15_reg_Zhytomyr,6.0
2019,rural,15_reg_Zhytomyr,13.0
2020,rural,15_reg_Zhytomyr,26.0
2015,rural,16_reg_Zakarpattya,
2016,rural,16_reg_Zakarpattya,2.0
2017,rural,16_reg_Zakarpattya,2.0
2018,rural,16_reg_Zakarpattya,3.0
2019,rural,16_reg_Zakarpattya,24.0
2020,rural,16_reg_Zakarpattya,28.0
2015,rural,17_reg_Zaporizhya,
2016,rural,17_reg_Zaporizhya,4.0
2017,rural,17_reg_Zaporizhya,6.0
2018,rural,17_reg_Zaporizhya,6.0
2019,rural,17_reg_Zaporizhya,32.0
2020,rural,17_reg_Zaporizhya,38.0
2015,rural,18_reg_Ivano-Frankivsk,
2016,rural,18_reg_Ivano-Frankivsk,3.0
2017,rural,18_reg_Ivano-Frankivsk,4.0
2018,rural,18_reg_Ivano-Frankivsk,4.0
2019,rural,18_reg_Ivano-Frankivsk,21.0
2020,rural,18_reg_Ivano-Frankivsk,34.0
2015,rural,19_reg_Kyiv,
2016,rural,19_reg_Kyiv,3.0
2017,rural,19_reg_Kyiv,3.0
2018,rural,19_reg_Kyiv,3.0
2019,rural,19_reg_Kyiv,60.0
2020,rural,19_reg_Kyiv,74.0
2015,rural,20_reg_Kirovohrad,
2016,rural,20_reg_Kirovohrad,1.0
2017,rural,20_reg_Kirovohrad,2.0
2018,rural,20_reg_Kirovohrad,2.0
2019,rural,20_reg_Kirovohrad,10.0
2020,rural,20_reg_Kirovohrad,16.0
2015,rural,21_reg_Luhansk,
2016,rural,21_reg_Luhansk,1.0
2017,rural,21_reg_Luhansk,1.0
2018,rural,21_reg_Luhansk,1.0
2019,rural,21_reg_Luhansk,16.0
2020,rural,21_reg_Luhansk,22.0
2015,rural,22_reg_Lviv,
2016,rural,22_reg_Lviv,4.0
2017,rural,22_reg_Lviv,6.0
2018,rural,22_reg_Lviv,8.0
2019,rural,22_reg_Lviv,32.0
2020,rural,22_reg_Lviv,49.0
2015,rural,23_reg_Mykolayiv,
2016,rural,23_reg_Mykolayiv,1.0
2017,rural,23_reg_Mykolayiv,2.0
2018,rural,23_reg_Mykolayiv,2.0
2019,rural,23_reg_Mykolayiv,15.0
2020,rural,23_reg_Mykolayiv,27.0
2015,rural,24_reg_Odesa,
2016,rural,24_reg_Odesa,6.0
2017,rural,24_reg_Odesa,6.0
2018,rural,24_reg_Odesa,7.0
2019,rural,24_reg_Odesa,19.0
2020,rural,24_reg_Odesa,30.0
2015,rural,25_reg_Poltava,
2016,rural,25_reg_Poltava,6.0
2017,rural,25_reg_Poltava,8.0
2018,rural,25_reg_Poltava,8.0
2019,rural,25_reg_Poltava,13.0
2020,rural,25_reg_Poltava,31.0
2015,rural,26_reg_Rivne,
2016,rural,26_reg_Rivne,3.0
2017,rural,26_reg_Rivne,5.0
2018,rural,26_reg_Rivne,4.0
2019,rural,26_reg_Rivne,25.0
2020,rural,26_reg_Rivne,36.0
2015,rural,27_reg_Sumy,
2016,rural,27_reg_Sumy,2.0
2017,rural,27_reg_Sumy,2.0
2018,rural,27_reg_Sumy,3.0
2019,rural,27_reg_Sumy,12.0
2020,rural,27_reg_Sumy,23.0
2015,rural,28_reg_Ternopil,
2016,rural,28_reg_Ternopil,4.0
2017,rural,28_reg_Ternopil,5.0
2018,rural,28_reg_Ternopil,7.0
2019,rural,28_reg_Ternopil,41.0
2020,rural,28_reg_Ternopil,49.0
2015,rural,29_reg_Kharkiv,
2016,rural,29_reg_Kharkiv,2.0
2017,rural,29_reg_Kharkiv,4.0
2018,rural,29_reg_Kharkiv,4.0
2019,rural,29_reg_Kharkiv,15.0
2020,rural,29_reg_Kharkiv,25.0
2015,rural,30_reg_Kherson,
2016,rural,30_reg_Kherson,3.0
2017,rural,30_reg_Kherson,4.0
2018,rural,30_reg_Kherson,5.0
2019,rural,30_reg_Kherson,21.0
2020,rural,30_reg_Kherson,44.0
2015,rural,31_reg_Khmelnytskiy,
2016,rural,31_reg_Khmelnytskiy,1.0
2017,rural,31_reg_Khmelnytskiy,2.0
2018,rural,31_reg_Khmelnytskiy,3.0
2019,rural,31_reg_Khmelnytskiy,14.0
2020,rural,31_reg_Khmelnytskiy,24.0
2015,rural,32_reg_Cherkasy,
2016,rural,32_reg_Cherkasy,2.0
2017,rural,32_reg_Cherkasy,3.0
2018,rural,32_reg_Cherkasy,3.0
2019,rural,32_reg_Cherkasy,12.0
2020,rural,32_reg_Cherkasy,28.0
2015,rural,33_reg_Chernivtsi,
2016,rural,33_reg_Chernivtsi,3.0
2017,rural,33_reg_Chernivtsi,4.0
2018,rural,33_reg_Chernivtsi,3.0
2019,rural,33_reg_Chernivtsi,14.0
2020,rural,33_reg_Chernivtsi,19.0
2015,rural,34_reg_Chernihiv,
2016,rural,34_reg_Chernihiv,3.0
2017,rural,34_reg_Chernihiv,3.0
2018,rural,34_reg_Chernihiv,4.0
2019,rural,34_reg_Chernihiv,8.0
2020,rural,34_reg_Chernihiv,12.0
2015,rural,35_reg_Kyiv_city,
2016,rural,35_reg_Kyiv_city,
2017,rural,35_reg_Kyiv_city,
2018,rural,35_reg_Kyiv_city,
2019,rural,35_reg_Kyiv_city,
2020,rural,35_reg_Kyiv_city,
