Year,Об'єкт,Рівень,Value
2018,Структурні підрозділи з питань соцзахисту,"частково безбар'єрних, %",
2019,Структурні підрозділи з питань соцзахисту,"частково безбар'єрних, %",
2020,Структурні підрозділи з питань соцзахисту,"частково безбар'єрних, %",
2021,Структурні підрозділи з питань соцзахисту,"частково безбар'єрних, %",52.0
2015,Центри зайнятості,"безбар'єрних, %",
2016,Центри зайнятості,"безбар'єрних, %",
2017,Центри зайнятості,"безбар'єрних, %",
2018,Центри зайнятості,"безбар'єрних, %",
2019,Центри зайнятості,"безбар'єрних, %",
2020,Центри зайнятості,"безбар'єрних, %",
2021,Центри зайнятості,"безбар'єрних, %",21.0
2015,Центри зайнятості,"частково безбар'єрних, %",
2016,Центри зайнятості,"частково безбар'єрних, %",
2017,Центри зайнятості,"частково безбар'єрних, %",
2018,Центри зайнятості,"частково безбар'єрних, %",
2019,Центри зайнятості,"частково безбар'єрних, %",
2020,Центри зайнятості,"частково безбар'єрних, %",
2021,Центри зайнятості,"частково безбар'єрних, %",58.0
2015,Центри надання адміністративних послуг,"безбар'єрних, %",
2016,Центри надання адміністративних послуг,"безбар'єрних, %",
2017,Центри надання адміністративних послуг,"безбар'єрних, %",
2018,Центри надання адміністративних послуг,"безбар'єрних, %",
2019,Центри надання адміністративних послуг,"безбар'єрних, %",
2020,Центри надання адміністративних послуг,"безбар'єрних, %",
2021,Центри надання адміністративних послуг,"безбар'єрних, %",35.0
2015,Центри надання адміністративних послуг,"частково безбар'єрних, %",
2016,Центри надання адміністративних послуг,"частково безбар'єрних, %",
2017,Центри надання адміністративних послуг,"частково безбар'єрних, %",
2018,Центри надання адміністративних послуг,"частково безбар'єрних, %",
2019,Центри надання адміністративних послуг,"частково безбар'єрних, %",
2020,Центри надання адміністративних послуг,"частково безбар'єрних, %",
2021,Центри надання адміністративних послуг,"частково безбар'єрних, %",43.0
2015,Національні заклади/установи,"безбар'єрних, %",
2016,Національні заклади/установи,"безбар'єрних, %",
2017,Національні заклади/установи,"безбар'єрних, %",
2018,Національні заклади/установи,"безбар'єрних, %",
2019,Національні заклади/установи,"безбар'єрних, %",
2020,Національні заклади/установи,"безбар'єрних, %",
2021,Національні заклади/установи,"безбар'єрних, %",13.0
2015,Національні заклади/установи,"частково безбар'єрних, %",
2016,Національні заклади/установи,"частково безбар'єрних, %",
2017,Національні заклади/установи,"частково безбар'єрних, %",
2018,Національні заклади/установи,"частково безбар'єрних, %",
2019,Національні заклади/установи,"частково безбар'єрних, %",
2020,Національні заклади/установи,"частково безбар'єрних, %",
2021,Національні заклади/установи,"частково безбар'єрних, %",33.0
2015,"Залізничні вокзали, аеропорти, автовокзали","безбар'єрних, %",
2016,"Залізничні вокзали, аеропорти, автовокзали","безбар'єрних, %",
2017,"Залізничні вокзали, аеропорти, автовокзали","безбар'єрних, %",
2018,"Залізничні вокзали, аеропорти, автовокзали","безбар'єрних, %",
2019,"Залізничні вокзали, аеропорти, автовокзали","безбар'єрних, %",
2020,"Залізничні вокзали, аеропорти, автовокзали","безбар'єрних, %",
2021,"Залізничні вокзали, аеропорти, автовокзали","безбар'єрних, %",22.0
2015,"Залізничні вокзали, аеропорти, автовокзали","частково безбар'єрних, %",
2016,"Залізничні вокзали, аеропорти, автовокзали","частково безбар'єрних, %",
2017,"Залізничні вокзали, аеропорти, автовокзали","частково безбар'єрних, %",
2018,"Залізничні вокзали, аеропорти, автовокзали","частково безбар'єрних, %",
2019,"Залізничні вокзали, аеропорти, автовокзали","частково безбар'єрних, %",
2020,"Залізничні вокзали, аеропорти, автовокзали","частково безбар'єрних, %",
2021,"Залізничні вокзали, аеропорти, автовокзали","частково безбар'єрних, %",57.0
2015,Установи пенсійного фонду,"безбар'єрних, %",
2016,Установи пенсійного фонду,"безбар'єрних, %",
2017,Установи пенсійного фонду,"безбар'єрних, %",
2018,Установи пенсійного фонду,"безбар'єрних, %",
2019,Установи пенсійного фонду,"безбар'єрних, %",
2020,Установи пенсійного фонду,"безбар'єрних, %",
2021,Установи пенсійного фонду,"безбар'єрних, %",41.0
2015,Установи пенсійного фонду,"частково безбар'єрних, %",
2016,Установи пенсійного фонду,"частково безбар'єрних, %",
2017,Установи пенсійного фонду,"частково безбар'єрних, %",
2018,Установи пенсійного фонду,"частково безбар'єрних, %",
2019,Установи пенсійного фонду,"частково безбар'єрних, %",
2020,Установи пенсійного фонду,"частково безбар'єрних, %",
2021,Установи пенсійного фонду,"частково безбар'єрних, %",47.0
2015,Споруди цивільного захисту,"безбар'єрних, %",
2016,Споруди цивільного захисту,"безбар'єрних, %",
2017,Споруди цивільного захисту,"безбар'єрних, %",
2018,Споруди цивільного захисту,"безбар'єрних, %",
2019,Споруди цивільного захисту,"безбар'єрних, %",
2020,Споруди цивільного захисту,"безбар'єрних, %",
2021,Споруди цивільного захисту,"безбар'єрних, %",3.0
2015,Споруди цивільного захисту,"частково безбар'єрних, %",
2016,Споруди цивільного захисту,"частково безбар'єрних, %",
2017,Споруди цивільного захисту,"частково безбар'єрних, %",
2018,Споруди цивільного захисту,"частково безбар'єрних, %",
2019,Споруди цивільного захисту,"частково безбар'єрних, %",
2020,Споруди цивільного захисту,"частково безбар'єрних, %",
2021,Споруди цивільного захисту,"частково безбар'єрних, %",27.0
2015,Суди,"безбар'єрних, %",
2016,Суди,"безбар'єрних, %",
2017,Суди,"безбар'єрних, %",
2018,Суди,"безбар'єрних, %",
2019,Суди,"безбар'єрних, %",
2020,Суди,"безбар'єрних, %",
2021,Суди,"безбар'єрних, %",12.0
2015,Суди,"частково безбар'єрних, %",
2016,Суди,"частково безбар'єрних, %",
2017,Суди,"частково безбар'єрних, %",
2018,Суди,"частково безбар'єрних, %",
2019,Суди,"частково безбар'єрних, %",
2020,Суди,"частково безбар'єрних, %",
2021,Суди,"частково безбар'єрних, %",52.0
