Year,Levels of academic achievement,Settlement,Gender,Value
2016,"4th level (high, 10-12 points)","settlement, village",,13
2017,"4th level (high, 10-12 points)","settlement, village",,12
2018,"4th level (high, 10-12 points)","settlement, village",,11
2019,"4th level (high, 10-12 points)","settlement, village",,10
2020,"4th level (high, 10-12 points)","settlement, village",,12
2021,"4th level (high, 10-12 points)","settlement, village",,10
2015,"4th level (high, 10-12 points)",urban settlement,,8
2016,"4th level (high, 10-12 points)",urban settlement,,7
2017,"4th level (high, 10-12 points)",urban settlement,,8
2018,"4th level (high, 10-12 points)",urban settlement,,8
2019,"4th level (high, 10-12 points)",urban settlement,,8
2020,"4th level (high, 10-12 points)",urban settlement,,7
2021,"4th level (high, 10-12 points)",urban settlement,,7
2015,"4th level (high, 10-12 points)",city,,82
2016,"4th level (high, 10-12 points)",city,,80
2017,"4th level (high, 10-12 points)",city,,81
2018,"4th level (high, 10-12 points)",city,,81
2019,"4th level (high, 10-12 points)",city,,82
2020,"4th level (high, 10-12 points)",city,,81
2021,"4th level (high, 10-12 points)",city,,82
2015,"4th level (high, 10-12 points)",,females,72
2016,"4th level (high, 10-12 points)",,females,71
2017,"4th level (high, 10-12 points)",,females,71
2018,"4th level (high, 10-12 points)",,females,71
2019,"4th level (high, 10-12 points)",,females,71
2020,"4th level (high, 10-12 points)",,females,69
2021,"4th level (high, 10-12 points)",,females,69
2015,"4th level (high, 10-12 points)",,males,28
2016,"4th level (high, 10-12 points)",,males,29
2017,"4th level (high, 10-12 points)",,males,29
2018,"4th level (high, 10-12 points)",,males,29
2019,"4th level (high, 10-12 points)",,males,29
2020,"4th level (high, 10-12 points)",,males,31
2021,"4th level (high, 10-12 points)",,males,31
