Year,Component,Region,Age,Gender,Value
2018,com_2_tolerance,14_reg_Donetsk,age_2_36_60,,
2019,com_2_tolerance,14_reg_Donetsk,age_2_36_60,,
2017,com_2_tolerance,14_reg_Donetsk,age_3_61,,4.8
2018,com_2_tolerance,14_reg_Donetsk,age_3_61,,
2019,com_2_tolerance,14_reg_Donetsk,age_3_61,,
2017,com_2_tolerance,14_reg_Donetsk,,males,4.9
2018,com_2_tolerance,14_reg_Donetsk,,males,
2019,com_2_tolerance,14_reg_Donetsk,,males,
2017,com_2_tolerance,14_reg_Donetsk,,females,5.0
2018,com_2_tolerance,14_reg_Donetsk,,females,
2019,com_2_tolerance,14_reg_Donetsk,,females,
2017,com_2_tolerance,21_reg_Luhansk,age_1_18_35,,4.9
2018,com_2_tolerance,21_reg_Luhansk,age_1_18_35,,
2019,com_2_tolerance,21_reg_Luhansk,age_1_18_35,,
2017,com_2_tolerance,21_reg_Luhansk,age_2_36_60,,4.9
2018,com_2_tolerance,21_reg_Luhansk,age_2_36_60,,
2019,com_2_tolerance,21_reg_Luhansk,age_2_36_60,,
2017,com_2_tolerance,21_reg_Luhansk,age_3_61,,4.6
2018,com_2_tolerance,21_reg_Luhansk,age_3_61,,
2019,com_2_tolerance,21_reg_Luhansk,age_3_61,,
2017,com_2_tolerance,21_reg_Luhansk,,males,4.7
2018,com_2_tolerance,21_reg_Luhansk,,males,
2019,com_2_tolerance,21_reg_Luhansk,,males,
2017,com_2_tolerance,21_reg_Luhansk,,females,4.9
2018,com_2_tolerance,21_reg_Luhansk,,females,
2019,com_2_tolerance,21_reg_Luhansk,,females,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,age_1_18_35,,4.8
2018,com_2_tolerance,13_reg_Dnipropetrovsk,age_1_18_35,,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,age_1_18_35,,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,age_2_36_60,,4.8
2018,com_2_tolerance,13_reg_Dnipropetrovsk,age_2_36_60,,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,age_2_36_60,,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,age_3_61,,4.7
2018,com_2_tolerance,13_reg_Dnipropetrovsk,age_3_61,,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,age_3_61,,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,,males,4.7
2018,com_2_tolerance,13_reg_Dnipropetrovsk,,males,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,,males,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,,females,4.8
2018,com_2_tolerance,13_reg_Dnipropetrovsk,,females,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,,females,
2017,com_2_tolerance,17_reg_Zaporizhya,age_1_18_35,,4.9
2018,com_2_tolerance,17_reg_Zaporizhya,age_1_18_35,,
2019,com_2_tolerance,17_reg_Zaporizhya,age_1_18_35,,
2017,com_2_tolerance,17_reg_Zaporizhya,age_2_36_60,,4.8
2018,com_2_tolerance,17_reg_Zaporizhya,age_2_36_60,,
2019,com_2_tolerance,17_reg_Zaporizhya,age_2_36_60,,
2017,com_2_tolerance,17_reg_Zaporizhya,age_3_61,,4.8
2018,com_2_tolerance,17_reg_Zaporizhya,age_3_61,,
2019,com_2_tolerance,17_reg_Zaporizhya,age_3_61,,
2017,com_2_tolerance,17_reg_Zaporizhya,,males,4.7
2018,com_2_tolerance,17_reg_Zaporizhya,,males,
2019,com_2_tolerance,17_reg_Zaporizhya,,males,
2017,com_2_tolerance,17_reg_Zaporizhya,,females,5.0
2018,com_2_tolerance,17_reg_Zaporizhya,,females,
2019,com_2_tolerance,17_reg_Zaporizhya,,females,
2017,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,4.7
2018,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2019,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2017,com_2_tolerance,29_reg_Kharkiv,age_2_36_60,,4.8
2018,com_2_tolerance,29_reg_Kharkiv,age_2_36_60,,
2019,com_2_tolerance,29_reg_Kharkiv,age_2_36_60,,
2017,com_2_tolerance,29_reg_Kharkiv,age_3_61,,4.7
2018,com_2_tolerance,29_reg_Kharkiv,age_3_61,,
2019,com_2_tolerance,29_reg_Kharkiv,age_3_61,,
2017,com_2_tolerance,29_reg_Kharkiv,,males,4.6
2018,com_2_tolerance,29_reg_Kharkiv,,males,
2019,com_2_tolerance,29_reg_Kharkiv,,males,
2017,com_2_tolerance,29_reg_Kharkiv,,females,4.9
2018,com_2_tolerance,29_reg_Kharkiv,,females,
2019,com_2_tolerance,29_reg_Kharkiv,,females,
2017,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2018,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2019,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2017,com_3_adapt,14_reg_Donetsk,age_2_36_60,,7.8
2018,com_3_adapt,14_reg_Donetsk,age_2_36_60,,
2019,com_3_adapt,14_reg_Donetsk,age_2_36_60,,
2017,com_3_adapt,14_reg_Donetsk,age_3_61,,7.8
2018,com_3_adapt,14_reg_Donetsk,age_3_61,,
2019,com_3_adapt,14_reg_Donetsk,age_3_61,,
2017,com_3_adapt,14_reg_Donetsk,,males,7.7
2018,com_3_adapt,14_reg_Donetsk,,males,
2019,com_3_adapt,14_reg_Donetsk,,males,
2017,com_3_adapt,14_reg_Donetsk,,females,7.9
2018,com_3_adapt,14_reg_Donetsk,,females,
2019,com_3_adapt,14_reg_Donetsk,,females,
2017,com_3_adapt,21_reg_Luhansk,age_1_18_35,,7.9
2018,com_3_adapt,21_reg_Luhansk,age_1_18_35,,
2019,com_3_adapt,21_reg_Luhansk,age_1_18_35,,
2017,com_3_adapt,21_reg_Luhansk,age_2_36_60,,7.9
2018,com_3_adapt,21_reg_Luhansk,age_2_36_60,,
2019,com_3_adapt,21_reg_Luhansk,age_2_36_60,,
2017,com_3_adapt,21_reg_Luhansk,age_3_61,,7.8
2018,com_3_adapt,21_reg_Luhansk,age_3_61,,
2019,com_3_adapt,21_reg_Luhansk,age_3_61,,
2017,com_3_adapt,21_reg_Luhansk,,males,7.8
2018,com_3_adapt,21_reg_Luhansk,,males,
2019,com_3_adapt,21_reg_Luhansk,,males,
2017,com_3_adapt,21_reg_Luhansk,,females,7.9
2018,com_3_adapt,21_reg_Luhansk,,females,
2019,com_3_adapt,21_reg_Luhansk,,females,
2017,com_3_adapt,13_reg_Dnipropetrovsk,age_1_18_35,,7.7
2018,com_3_adapt,13_reg_Dnipropetrovsk,age_1_18_35,,
2019,com_3_adapt,13_reg_Dnipropetrovsk,age_1_18_35,,
2017,com_3_adapt,13_reg_Dnipropetrovsk,age_2_36_60,,7.7
2018,com_3_adapt,13_reg_Dnipropetrovsk,age_2_36_60,,
2019,com_3_adapt,13_reg_Dnipropetrovsk,age_2_36_60,,
2017,com_3_adapt,13_reg_Dnipropetrovsk,age_3_61,,7.7
2018,com_3_adapt,13_reg_Dnipropetrovsk,age_3_61,,
2019,com_3_adapt,13_reg_Dnipropetrovsk,age_3_61,,
2017,com_3_adapt,13_reg_Dnipropetrovsk,,males,7.6
2018,com_3_adapt,13_reg_Dnipropetrovsk,,males,
2019,com_3_adapt,13_reg_Dnipropetrovsk,,males,
2017,com_3_adapt,13_reg_Dnipropetrovsk,,females,7.7
2018,com_3_adapt,13_reg_Dnipropetrovsk,,females,
2019,com_3_adapt,13_reg_Dnipropetrovsk,,females,
2017,com_3_adapt,17_reg_Zaporizhya,age_1_18_35,,7.8
2018,com_3_adapt,17_reg_Zaporizhya,age_1_18_35,,
2019,com_3_adapt,17_reg_Zaporizhya,age_1_18_35,,
2017,com_3_adapt,17_reg_Zaporizhya,age_2_36_60,,7.8
2018,com_3_adapt,17_reg_Zaporizhya,age_2_36_60,,
2019,com_3_adapt,17_reg_Zaporizhya,age_2_36_60,,
2017,com_3_adapt,17_reg_Zaporizhya,age_3_61,,7.8
2018,com_3_adapt,17_reg_Zaporizhya,age_3_61,,
2019,com_3_adapt,17_reg_Zaporizhya,age_3_61,,
2017,com_3_adapt,17_reg_Zaporizhya,,males,7.6
2018,com_3_adapt,17_reg_Zaporizhya,,males,
2019,com_3_adapt,17_reg_Zaporizhya,,males,
2017,com_3_adapt,17_reg_Zaporizhya,,females,8.0
2018,com_3_adapt,17_reg_Zaporizhya,,females,
2019,com_3_adapt,17_reg_Zaporizhya,,females,
2017,com_3_adapt,29_reg_Kharkiv,age_1_18_35,,7.7
2018,com_3_adapt,29_reg_Kharkiv,age_1_18_35,,
2019,com_3_adapt,29_reg_Kharkiv,age_1_18_35,,
2017,com_3_adapt,29_reg_Kharkiv,age_2_36_60,,7.8
2018,com_3_adapt,29_reg_Kharkiv,age_2_36_60,,
2019,com_3_adapt,29_reg_Kharkiv,age_2_36_60,,
2017,com_3_adapt,29_reg_Kharkiv,age_3_61,,7.8
2018,com_3_adapt,29_reg_Kharkiv,age_3_61,,
2019,com_3_adapt,29_reg_Kharkiv,age_3_61,,
2017,com_3_adapt,29_reg_Kharkiv,,males,7.6
2018,com_3_adapt,29_reg_Kharkiv,,males,
2019,com_3_adapt,29_reg_Kharkiv,,males,
2017,com_3_adapt,29_reg_Kharkiv,,females,7.9
2018,com_3_adapt,29_reg_Kharkiv,,females,
2019,com_3_adapt,29_reg_Kharkiv,,females,
2017,com_4_migration,14_reg_Donetsk,age_1_18_35,,
2018,com_4_migration,14_reg_Donetsk,age_1_18_35,,5.5
2019,com_4_migration,14_reg_Donetsk,age_1_18_35,,
2017,com_4_migration,14_reg_Donetsk,age_2_36_60,,4.1
2018,com_4_migration,14_reg_Donetsk,age_2_36_60,,4.8
2019,com_4_migration,14_reg_Donetsk,age_2_36_60,,
2017,com_4_migration,14_reg_Donetsk,age_3_61,,3.3
2018,com_4_migration,14_reg_Donetsk,age_3_61,,3.8
2019,com_4_migration,14_reg_Donetsk,age_3_61,,
2017,com_4_migration,14_reg_Donetsk,,males,4.2
2018,com_4_migration,14_reg_Donetsk,,males,4.9
2019,com_4_migration,14_reg_Donetsk,,males,
2017,com_4_migration,14_reg_Donetsk,,females,4.2
2018,com_4_migration,14_reg_Donetsk,,females,4.6
2019,com_4_migration,14_reg_Donetsk,,females,
2017,com_4_migration,21_reg_Luhansk,age_1_18_35,,5.4
2018,com_4_migration,21_reg_Luhansk,age_1_18_35,,6.1
2019,com_4_migration,21_reg_Luhansk,age_1_18_35,,
2017,com_4_migration,21_reg_Luhansk,age_2_36_60,,4.4
2018,com_4_migration,21_reg_Luhansk,age_2_36_60,,5.4
2019,com_4_migration,21_reg_Luhansk,age_2_36_60,,
2017,com_4_migration,21_reg_Luhansk,age_3_61,,3.5
2018,com_4_migration,21_reg_Luhansk,age_3_61,,4.3
2019,com_4_migration,21_reg_Luhansk,age_3_61,,
2017,com_4_migration,21_reg_Luhansk,,males,4.4
2018,com_4_migration,21_reg_Luhansk,,males,5.3
2019,com_4_migration,21_reg_Luhansk,,males,
2017,com_4_migration,21_reg_Luhansk,,females,4.4
2018,com_4_migration,21_reg_Luhansk,,females,5.3
2019,com_4_migration,21_reg_Luhansk,,females,
2017,com_4_migration,13_reg_Dnipropetrovsk,age_1_18_35,,5.0
2018,com_4_migration,13_reg_Dnipropetrovsk,age_1_18_35,,5.7
2019,com_4_migration,13_reg_Dnipropetrovsk,age_1_18_35,,
2017,com_4_migration,13_reg_Dnipropetrovsk,age_2_36_60,,4.0
2018,com_4_migration,13_reg_Dnipropetrovsk,age_2_36_60,,4.6
2019,com_4_migration,13_reg_Dnipropetrovsk,age_2_36_60,,
2017,com_4_migration,13_reg_Dnipropetrovsk,age_3_61,,3.2
2018,com_4_migration,13_reg_Dnipropetrovsk,age_3_61,,3.5
2019,com_4_migration,13_reg_Dnipropetrovsk,age_3_61,,
2017,com_4_migration,13_reg_Dnipropetrovsk,,males,4.3
2018,com_4_migration,13_reg_Dnipropetrovsk,,males,4.8
2019,com_4_migration,13_reg_Dnipropetrovsk,,males,
2017,com_4_migration,13_reg_Dnipropetrovsk,,females,3.9
2018,com_4_migration,13_reg_Dnipropetrovsk,,females,4.6
2019,com_4_migration,13_reg_Dnipropetrovsk,,females,
2017,com_4_migration,17_reg_Zaporizhya,age_1_18_35,,5.4
2018,com_4_migration,17_reg_Zaporizhya,age_1_18_35,,5.4
2019,com_4_migration,17_reg_Zaporizhya,age_1_18_35,,
2017,com_4_migration,17_reg_Zaporizhya,age_2_36_60,,4.1
2018,com_4_migration,17_reg_Zaporizhya,age_2_36_60,,4.4
2019,com_4_migration,17_reg_Zaporizhya,age_2_36_60,,
2017,com_4_migration,17_reg_Zaporizhya,age_3_61,,3.0
2018,com_4_migration,17_reg_Zaporizhya,age_3_61,,3.4
2019,com_4_migration,17_reg_Zaporizhya,age_3_61,,
2017,com_4_migration,17_reg_Zaporizhya,,males,4.2
2018,com_4_migration,17_reg_Zaporizhya,,males,4.6
2019,com_4_migration,17_reg_Zaporizhya,,males,
2017,com_4_migration,17_reg_Zaporizhya,,females,4.2
2018,com_4_migration,17_reg_Zaporizhya,,females,4.4
2019,com_4_migration,17_reg_Zaporizhya,,females,
2017,com_4_migration,29_reg_Kharkiv,age_1_18_35,,5.0
2018,com_4_migration,29_reg_Kharkiv,age_1_18_35,,5.7
2019,com_4_migration,29_reg_Kharkiv,age_1_18_35,,
2017,com_4_migration,29_reg_Kharkiv,age_2_36_60,,4.1
2018,com_4_migration,29_reg_Kharkiv,age_2_36_60,,4.7
2019,com_4_migration,29_reg_Kharkiv,age_2_36_60,,
2017,com_4_migration,29_reg_Kharkiv,age_3_61,,3.2
2018,com_4_migration,29_reg_Kharkiv,age_3_61,,4.2
2019,com_4_migration,29_reg_Kharkiv,age_3_61,,
2017,com_4_migration,29_reg_Kharkiv,,males,4.3
2018,com_4_migration,29_reg_Kharkiv,,males,5.1
2019,com_4_migration,29_reg_Kharkiv,,males,
2017,com_4_migration,29_reg_Kharkiv,,females,4.1
2018,com_4_migration,29_reg_Kharkiv,,females,4.7
2019,com_4_migration,29_reg_Kharkiv,,females,
2017,com_5_dialogue,14_reg_Donetsk,age_1_18_35,,
2018,com_5_dialogue,14_reg_Donetsk,age_1_18_35,,6.6
2019,com_5_dialogue,14_reg_Donetsk,age_1_18_35,,
2017,com_5_dialogue,14_reg_Donetsk,age_2_36_60,,
2018,com_5_dialogue,14_reg_Donetsk,age_2_36_60,,6.7
2019,com_5_dialogue,14_reg_Donetsk,age_2_36_60,,
2017,com_5_dialogue,14_reg_Donetsk,age_3_61,,
2018,com_5_dialogue,14_reg_Donetsk,age_3_61,,6.8
2019,com_5_dialogue,14_reg_Donetsk,age_3_61,,
2017,com_5_dialogue,14_reg_Donetsk,,males,
2018,com_5_dialogue,14_reg_Donetsk,,males,6.6
2019,com_5_dialogue,14_reg_Donetsk,,males,
2017,com_5_dialogue,14_reg_Donetsk,,females,
2018,com_5_dialogue,14_reg_Donetsk,,females,6.8
2019,com_5_dialogue,14_reg_Donetsk,,females,
2017,com_5_dialogue,21_reg_Luhansk,age_1_18_35,,
2018,com_5_dialogue,21_reg_Luhansk,age_1_18_35,,6.0
2019,com_5_dialogue,21_reg_Luhansk,age_1_18_35,,
2017,com_5_dialogue,21_reg_Luhansk,age_2_36_60,,
2018,com_5_dialogue,21_reg_Luhansk,age_2_36_60,,6.3
2019,com_5_dialogue,21_reg_Luhansk,age_2_36_60,,
2017,com_5_dialogue,21_reg_Luhansk,age_3_61,,
2018,com_5_dialogue,21_reg_Luhansk,age_3_61,,6.0
2019,com_5_dialogue,21_reg_Luhansk,age_3_61,,
2017,com_5_dialogue,21_reg_Luhansk,,males,
2018,com_5_dialogue,21_reg_Luhansk,,males,6.2
2019,com_5_dialogue,21_reg_Luhansk,,males,
2017,com_5_dialogue,21_reg_Luhansk,,females,
2018,com_5_dialogue,21_reg_Luhansk,,females,6.1
2019,com_5_dialogue,21_reg_Luhansk,,females,
2017,com_5_dialogue,13_reg_Dnipropetrovsk,age_1_18_35,,
2018,com_5_dialogue,13_reg_Dnipropetrovsk,age_1_18_35,,5.9
2019,com_5_dialogue,13_reg_Dnipropetrovsk,age_1_18_35,,
2017,com_5_dialogue,13_reg_Dnipropetrovsk,age_2_36_60,,
2018,com_5_dialogue,13_reg_Dnipropetrovsk,age_2_36_60,,5.9
2019,com_5_dialogue,13_reg_Dnipropetrovsk,age_2_36_60,,
2017,com_5_dialogue,13_reg_Dnipropetrovsk,age_3_61,,
2018,com_5_dialogue,13_reg_Dnipropetrovsk,age_3_61,,5.6
2019,com_5_dialogue,13_reg_Dnipropetrovsk,age_3_61,,
2017,com_5_dialogue,13_reg_Dnipropetrovsk,,males,
2018,com_5_dialogue,13_reg_Dnipropetrovsk,,males,6.0
2019,com_5_dialogue,13_reg_Dnipropetrovsk,,males,
2017,com_5_dialogue,13_reg_Dnipropetrovsk,,females,
2018,com_5_dialogue,13_reg_Dnipropetrovsk,,females,5.7
2019,com_5_dialogue,13_reg_Dnipropetrovsk,,females,
2017,com_5_dialogue,17_reg_Zaporizhya,age_1_18_35,,
2018,com_5_dialogue,17_reg_Zaporizhya,age_1_18_35,,5.8
2019,com_5_dialogue,17_reg_Zaporizhya,age_1_18_35,,
2017,com_5_dialogue,17_reg_Zaporizhya,age_2_36_60,,
2018,com_5_dialogue,17_reg_Zaporizhya,age_2_36_60,,6.5
2019,com_5_dialogue,17_reg_Zaporizhya,age_2_36_60,,
2017,com_5_dialogue,17_reg_Zaporizhya,age_3_61,,
2018,com_5_dialogue,17_reg_Zaporizhya,age_3_61,,6.2
2019,com_5_dialogue,17_reg_Zaporizhya,age_3_61,,
2017,com_5_dialogue,17_reg_Zaporizhya,,males,
2018,com_5_dialogue,17_reg_Zaporizhya,,males,6.2
2019,com_5_dialogue,17_reg_Zaporizhya,,males,
2017,com_5_dialogue,17_reg_Zaporizhya,,females,
2018,com_5_dialogue,17_reg_Zaporizhya,,females,6.2
2019,com_5_dialogue,17_reg_Zaporizhya,,females,
2017,com_5_dialogue,29_reg_Kharkiv,age_1_18_35,,
2018,com_5_dialogue,29_reg_Kharkiv,age_1_18_35,,6.2
2019,com_5_dialogue,29_reg_Kharkiv,age_1_18_35,,
2017,com_5_dialogue,29_reg_Kharkiv,age_2_36_60,,
2018,com_5_dialogue,29_reg_Kharkiv,age_2_36_60,,6.3
2019,com_5_dialogue,29_reg_Kharkiv,age_2_36_60,,
2017,com_5_dialogue,29_reg_Kharkiv,age_3_61,,
2018,com_5_dialogue,29_reg_Kharkiv,age_3_61,,6.6
2019,com_5_dialogue,29_reg_Kharkiv,age_3_61,,
2017,com_5_dialogue,29_reg_Kharkiv,,males,
2018,com_5_dialogue,29_reg_Kharkiv,,males,6.8
2019,com_5_dialogue,29_reg_Kharkiv,,males,
2017,com_5_dialogue,29_reg_Kharkiv,,females,
2018,com_5_dialogue,29_reg_Kharkiv,,females,6.1
2019,com_5_dialogue,29_reg_Kharkiv,,females,
2017,com_6_civic,14_reg_Donetsk,age_1_18_35,,
2018,com_6_civic,14_reg_Donetsk,age_1_18_35,,4.7
2019,com_6_civic,14_reg_Donetsk,age_1_18_35,,6.6
2017,com_6_civic,14_reg_Donetsk,age_2_36_60,,
2018,com_6_civic,14_reg_Donetsk,age_2_36_60,,3.4
2019,com_6_civic,14_reg_Donetsk,age_2_36_60,,6.5
2017,com_6_civic,14_reg_Donetsk,age_3_61,,
2018,com_6_civic,14_reg_Donetsk,age_3_61,,2.2
2019,com_6_civic,14_reg_Donetsk,age_3_61,,6.3
2017,com_6_civic,14_reg_Donetsk,,males,
2018,com_6_civic,14_reg_Donetsk,,males,3.8
2019,com_6_civic,14_reg_Donetsk,,males,6.6
2017,com_6_civic,14_reg_Donetsk,,females,
2018,com_6_civic,14_reg_Donetsk,,females,3.2
2019,com_6_civic,14_reg_Donetsk,,females,6.4
2017,com_6_civic,21_reg_Luhansk,age_1_18_35,,
2018,com_6_civic,21_reg_Luhansk,age_1_18_35,,4.4
2019,com_6_civic,21_reg_Luhansk,age_1_18_35,,7.0
2017,com_6_civic,21_reg_Luhansk,age_2_36_60,,
2018,com_6_civic,21_reg_Luhansk,age_2_36_60,,4.3
2019,com_6_civic,21_reg_Luhansk,age_2_36_60,,6.2
2017,com_6_civic,21_reg_Luhansk,age_3_61,,
2018,com_6_civic,21_reg_Luhansk,age_3_61,,2.3
2019,com_6_civic,21_reg_Luhansk,age_3_61,,5.8
2017,com_6_civic,21_reg_Luhansk,,males,
2018,com_6_civic,21_reg_Luhansk,,males,4.2
2019,com_6_civic,21_reg_Luhansk,,males,6.2
2017,com_6_civic,21_reg_Luhansk,,females,
2018,com_6_civic,21_reg_Luhansk,,females,3.5
2019,com_6_civic,21_reg_Luhansk,,females,6.4
2017,com_6_civic,13_reg_Dnipropetrovsk,age_1_18_35,,
2018,com_6_civic,13_reg_Dnipropetrovsk,age_1_18_35,,5.0
2019,com_6_civic,13_reg_Dnipropetrovsk,age_1_18_35,,
2017,com_6_civic,13_reg_Dnipropetrovsk,age_2_36_60,,
2018,com_6_civic,13_reg_Dnipropetrovsk,age_2_36_60,,4.7
2019,com_6_civic,13_reg_Dnipropetrovsk,age_2_36_60,,
2017,com_6_civic,13_reg_Dnipropetrovsk,age_3_61,,
2018,com_6_civic,13_reg_Dnipropetrovsk,age_3_61,,4.2
2019,com_6_civic,13_reg_Dnipropetrovsk,age_3_61,,
2017,com_6_civic,13_reg_Dnipropetrovsk,,males,
2018,com_6_civic,13_reg_Dnipropetrovsk,,males,5.3
2019,com_6_civic,13_reg_Dnipropetrovsk,,males,
2017,com_6_civic,13_reg_Dnipropetrovsk,,females,
2018,com_6_civic,13_reg_Dnipropetrovsk,,females,4.1
2019,com_6_civic,13_reg_Dnipropetrovsk,,females,
2017,com_6_civic,17_reg_Zaporizhya,age_1_18_35,,
2018,com_6_civic,17_reg_Zaporizhya,age_1_18_35,,4.8
2019,com_6_civic,17_reg_Zaporizhya,age_1_18_35,,
2017,com_6_civic,17_reg_Zaporizhya,age_2_36_60,,
2018,com_6_civic,17_reg_Zaporizhya,age_2_36_60,,4.6
2019,com_6_civic,17_reg_Zaporizhya,age_2_36_60,,
2017,com_6_civic,17_reg_Zaporizhya,age_3_61,,
2018,com_6_civic,17_reg_Zaporizhya,age_3_61,,3.4
2019,com_6_civic,17_reg_Zaporizhya,age_3_61,,
2017,com_6_civic,17_reg_Zaporizhya,,males,
2018,com_6_civic,17_reg_Zaporizhya,,males,4.5
2019,com_6_civic,17_reg_Zaporizhya,,males,
2017,com_6_civic,17_reg_Zaporizhya,,females,
2018,com_6_civic,17_reg_Zaporizhya,,females,4.2
2019,com_6_civic,17_reg_Zaporizhya,,females,
